,SESESE,SESESE,SE,SE,SESE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SESE
Comuna ,9 10 11 ,12 13 14 ,15 ,16 ,17 18 ,19 ,20 ,21 ,22 ,23 ,24 ,25 ,26 ,27 ,28 ,29 ,30 31 
Antofagasta ,& 0 1 2 ,28 31 41 ,59 ,110 ,161 216 ,312 ,313 ,304 ,356 ,502 ,602 ,705 ,794 ,911 ,744 ,441 ,110 O 
Calama ,& 1 O 2 ,3 3 9 ,18 ,17 ,40 54 ,92 ,235 ,285 ,444 ,814 ,996 ,917 ,743 ,655 ,432 ,281 ,35 O 
Maria Elena ,1 O O ,O O O ,5 ,9 ,16 45 ,42 ,30 ,13 ,12 ,11 ,7 ,41 ,29 ,27 ,7 ,11 ,O O 
Mejillones ,& O O O ,O 1 8 ,15 ,18 ,30 76 ,45 ,51 ,19 ,19 ,10 ,17 ,39 ,49 ,25 ,15 ,10 ,4 0 
Ollague ,0 O O ,0 O 0 ,O ,0 ,O ,0 ,O ,0 ,O ,0 ,2 ,6 ,1 ,2 ,5 ,5 ,O 0 
San Pedro de Atacama ,O O O ,2 1 1 ,O ,O ,1 O ,O ,2 ,4 ,4 ,18 ,21 ,34 ,35 ,35 ,34 ,38 ,5 O 
Sierra Gorda ,0 O O ,O O 0 ,O ,O ,O 3 ,5 ,5 ,3 ,12 ,6 ,8 ,3 ,4 ,2 ,5 ,4 ,O 0 
Taltal ,0 O O ,O O 2 ,3 ,2 ,1 1 ,3 ,12 ,6 ,9 ,7 ,9 ,12 ,7 ,11 ,21 ,14 ,O 0 
Tocopilla ,0 O O ,2 O 4 ,5 ,O ,1 2 ,7 ,8 ,8 ,4 ,6 ,25 ,50 ,61 ,43 ,21 ,14 ,O O 
Desconocido ,& 0 O O ,O O O ,O ,O ,5 O ,1 ,1 ,O ,O ,5 ,10 ,41 ,30 ,32 ,32 ,36 ,15 O 
Total ,2 1 4 ,35 36 65 ,105 ,156 ,255 397 ,507 ,657 ,642 ,860 ,1379 ,1697 ,1848 ,1753 ,1743 ,1316 ,854 ,169 0 
