Negrete,10429,65,623.3,0,0.0,25,239.7,25,239.7,000O,02,00,O07,1210910150
Penco& ,49865 ,103 ,206.6 ,0 ,0.0 ,51 ,102.3 ,51 ,102.3 ,0 0 O 1 ,3 3 ,3 8 ,O 3 2 ,2 10 12 37 19 0 
Quilaco ,4179 ,5 ,119.6 ,0 ,0.0 ,3 ,71.8 ,3 ,71.8 ,0 0 0 0 ,0 0 ,0 O ,O 0 O ,0 0 2 3 0 0 
Quilleco ,10032 ,6 ,59.8 ,0 ,0.0 ,3 ,29.9 ,3 ,29.9 ,0 0 O O ,0 0 ,0 0 ,O 0 O ,0 1 2 2 1 O 
San Pedro de la Paz& ,145906 ,318 ,217.9 ,1 ,0.7 ,93 ,63.7 ,93 ,63.7 ,0 0 6 34 ,17 24 ,8 11 ,3 2 13 ,12 36 58 56 37 1 
San Rosendo ,3611 ,5 ,138.5 ,0 ,0.0 ,O ,0.0 ,0 ,0.0 ,0 0 0 O ,0 0 ,0 0 ,O 0 1 ,1 O 1 2 0 O 
Santa Barbara ,14592 ,50 ,342.7 ,0 ,0.0 ,10 ,68.5 ,10 ,68.5 ,0 0 0 O ,2 0 ,0 0 ,O 0 4 ,9 7 18 6 4 0 
Santa Juana ,14779 ,21 ,142.1 ,0 ,0.0 ,16 ,108.3 ,16 ,108.3 ,0 O 0 O ,0 1 ,0 0 ,1 0 0 ,0 O 3 11 5 O 
Talcahuano& ,158345 ,313 ,197.7 ,1 ,0.6 ,55 ,34.7 ,55 ,34.7 ,0 0 1 16 ,16 17 ,14 14 ,20 17 19 ,18 41 61 34 25 0 
Tirua& ,11019 ,8 ,72.6 ,O ,0.0 ,3 ,27.2 ,3 ,27.2 ,O O O 1 ,2 1 ,O 0 ,O 0 O ,0 O 1 2 1 O 
Tome& ,58729 ,145 ,246.9 ,0 ,0.0 ,44 ,74.9 ,44 ,74.9 ,0 0 0 9 ,11 12 ,7 9 ,1 5 16 ,4 8 13 42 8 0 
Tucapel ,15205 ,50 ,328.8 ,0 ,0.0 ,25 ,164.4 ,25 ,164.4 ,0 0 0 0 ,0 1 ,0 0 ,0 0 1 ,4 6 11 21 6 0 
Yumbel ,22132 ,44 ,198.8 ,0 ,0.0 ,9 ,40.7 ,9 ,40.7 ,0 0 0 O ,5 0 ,1 1 ,1 2 4 ,3 5 13 1 8 0 
Total ,1663696 ,3433 ,206.3 ,15 ,0.9 ,925 ,55.6 ,923 ,55.5 ,1 2 29 140 ,157 149 ,99 100 ,65 85 211 ,244 487 677 603 383 1 
