Comuna,Poblacion,Confirmados,Tasadeincidencia
Corral ,5447 ,- ,0.0 
Futrono ,15261 ,- ,13.1 
La Union ,39538 ,10 ,25.3 
Lago Ranco ,10292 ,- ,9.7 
Lanco ,17652 ,- ,5.7 
LOs Lagos ,20518 ,- ,0.0 
Mafil ,7389 ,- ,13.5 
Mariquina ,23250 ,- ,12.9 
Paillaco ,20798 ,- ,4.8 
Panguipull ,35991 ,- ,0.0 
Rio Bueno ,32925 ,- ,6.1 
Valdivia ,176774 ,47 ,26.6 
Por determinar ,- ,10 ,
Total ,405835 ,78 ,19.2 
