Melipilla,&0116,5,4924,37,85,107,212,353,481,477,419,448,351,294,21913575,68,66,84,170
Nunoa ,& 1 1 28 54 ,44 ,48 48 70 ,73 ,154 ,372 ,543 ,760 ,664 ,654 ,553 ,382 ,313 ,208 ,185 86 92 ,106 ,94 ,79 ,15 0 
Padre Hurtado ,& 0 1 O 5 ,10 ,5 13 9 ,16 ,62 ,99 ,172 ,253 ,232 ,283 ,234 ,189 ,176 ,122 ,107 49 68 ,39 ,32 ,26 ,6 0 
Paine ,0 1 0 3 ,0 ,4 7 3 ,5 ,29 ,84 ,86 ,133 ,152 ,274 ,237 ,210 ,195 ,182 ,109 65 50 ,31 ,67 ,33 ,4 0 
Pedro Aguirre Cerda ,& 0 0 3 7 ,15 ,26 47 32 ,75 ,178 ,365 ,429 ,404 ,511 ,579 ,432 ,342 ,239 ,222 ,145 105 90 ,81 ,65 ,39 ,6 0 
Penaflor ,& 1 1 5 3 ,9 ,6 9 16 ,27 ,59 ,109 ,213 ,309 ,317 ,341 ,322 ,319 ,210 ,156 ,215 79 66 ,60 ,54 ,62 ,6 0 
Penalolen ,& 1 3 9 30 ,37 ,40 52 71 ,122 ,412 ,989 ,1341 ,1656 ,1599 ,1438 ,1108 ,846 ,579 ,451 ,326 203 202 ,173 ,131 ,104 ,29 0 
Pirque ,0 1 3 1 ,3 ,1 5 5 ,16 ,39 ,60 ,82 ,160 ,153 ,116 ,115 ,83 ,76 ,75 ,37 20 17 ,25 ,24 ,17 ,1 0 
Providencia ,& 0 3 29 63 ,22 ,25 35 41 ,41 ,96 ,284 ,328 ,405 ,430 ,295 ,238 ,208 ,180 ,156 ,119 68 61 ,67 ,71 ,40 ,10 0 
Pudahuel ,& 1 1 2 19 ,28 ,37 43 48 ,140 ,366 ,679 ,1034 ,1301 ,1273 ,1321 ,870 ,744 ,509 ,369 ,328 262 191 ,169 ,136 ,126 ,18 0 
Puente Alto ,& 2 4 11 65 ,107 ,185 209 334 ,384 ,861 ,1588 ,2236 ,2594 ,2606 ,2838 ,2394 ,1895 ,1445 ,1043 ,720 539 359 ,454 ,406 ,428 ,92 0 
Quilicura ,& 0 3 3 21 ,30 ,46 46 143 ,334 ,553 ,828 ,971 ,901 ,1049 ,1109 ,897 ,664 ,411 ,329 ,236 171 160 ,138 ,125 ,95 ,22 0 
Quinta Normal ,& 1 2 6 14 ,27 ,40 50 53 ,99 ,268 ,466 ,593 ,715 ,777 ,676 ,547 ,421 ,329 ,255 ,245 108 128 ,158 ,132 ,97 ,26 0 
Recoleta ,& 0 0 7 14 ,17 ,41 46 117 ,284 ,745 ,1186 ,1147 ,1000 ,878 ,782 ,589 ,511 ,305 ,252 ,179 100 122 ,94 ,114 ,80 ,10 0 
Renca ,& 0 0 5 7 ,11 ,8 36 68 ,111 ,297 ,631 ,747 ,853 ,798 ,868 ,807 ,892 ,612 ,492 ,414 305 287 ,246 ,260 ,183 ,13 0 
San Bernardo ,& 0 1 6 24 ,42 ,68 79 124 ,157 ,346 ,664 ,901 ,1078 ,1303 ,1414 ,1253 ,1074 ,831 ,583 ,417 257 234 ,207 ,195 ,124 ,29 0 
San Joaquin ,& 0 0 1 18 ,23 ,15 34 44 ,84 ,229 ,504 ,654 ,471 ,498 ,569 ,475 ,348 ,269 ,203 ,191 154 85 ,90 ,71 ,55 ,14 0 
San Jose de Maipo ,& 0 0 1 1 ,2 ,2 3 1 ,4 ,22 ,52 ,57 ,92 ,67 ,78 ,63 ,43 ,43 ,27 ,32 15 38 ,31 ,8 ,5 ,0 O 
San Miguel ,& 1 1 3 27 ,24 ,28 47 49 ,80 ,210 ,454 ,521 ,624 ,587 ,642 ,467 ,432 ,257 ,214 ,166 123 65 ,122 ,91 ,69 ,19 O 
San Pedro ,& 0 0 O 0 ,0 ,0 0 2 ,10 ,7 ,9 ,16 ,16 ,21 ,27 ,11 ,33 ,29 ,18 ,12 6 2 ,8 ,8 ,11 ,0 0 
San Ramon ,& 0 O 1 3 ,11 ,11 13 42 ,90 ,249 ,456 ,558 ,534 ,462 ,550 ,415 ,300 ,198 ,183 ,163 102 75 ,59 ,52 ,38 ,8 O 
Santiago ,& 1 3 31 100 ,107 ,151 168 177 ,394 ,952 ,1716 ,1724 ,1878 ,1631 ,1472 ,1195 ,984 ,632 ,504 ,424 239 190 ,155 ,163 ,110 ,24 0 
Talagante ,& 0 0 O 4 ,8 ,7 3 10 ,10 ,44 ,59 ,99 ,122 ,153 ,186 ,221 ,210 ,187 ,140 ,85 53 66 ,27 ,32 ,41 ,8 0 
Tiltil ,0 O O 2 ,1 ,2 1 6 ,5 ,11 ,34 ,43 ,57 ,62 ,93 ,63 ,50 ,44 ,38 ,15 15 14 ,12 ,13 ,11 ,4 0 
Vitacura ,& 0 6 32 50 ,29 ,14 7 5 ,13 ,55 ,162 ,216 ,188 ,152 ,139 ,102 ,96 ,81 ,52 ,32 30 25 ,38 ,24 ,25 ,5 0 
Desconocido ,& 0 O 7 9 ,19 ,54 177 364 ,564 ,710 ,1410 ,2169 ,2409 ,1672 ,1349 ,1351 ,1423 ,853 ,471 ,288 162 99 ,110 ,65 ,54 ,61 0 
Total ,15 70 355 1042 ,1150 ,1483 1928 2914 ,5349 ,12531 ,23536 ,30598 ,34137 ,33575 ,33775 ,27611 ,23033 ,16586 ,12553 ,9639 6485 5379 ,5103 ,4717 ,3677 ,756 0 
