Peralillo,11848,43,362.9,1,8.4,3,25.3,3,25.3,00O0O000000,27,71211,1,30
Peumo ,14952 ,23 ,153.8 ,3 ,20.1 ,7 ,46.8 ,7 ,46.8 ,0 O 0 0 1 0 0 0 0 2 3 ,2 2 ,2 1 1 ,5 ,4 0 
Pichidegua ,20743 ,61 ,294.1 ,1 ,4.8 ,28 ,135.0 ,28 ,135.0 ,0 0 0 0 O 0 0 0 0 1 3 ,8 3 ,2 5 9 ,14 ,16 0 
Pichilemu ,17882 ,35 ,195.7 ,0 ,0.0 ,5 ,28.0 ,5 ,28.0 ,0 0 O 0 O O O 0 0 2 2 ,4 7 ,4 2 6 ,5 ,3 0 
Placilla ,9164 ,35 ,381.9 ,0 ,0.0 ,6 ,65.5 ,6 ,65.5 ,0 0 0 0 1 0 0 0 0 0 1 ,4 3 ,6 10 3 ,2 ,5 0 
Pumanque ,3531 ,4 ,113.3 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 0 0 O 0 0 0 0 0 0 ,O 0 ,2 0 1 ,1 ,0 O 
Quinta de Tilcoco& ,13877 ,49 ,353.1 ,1 ,7.2 ,25 ,180.2 ,25 ,180.2 ,0 0 0 1 0 0 0 0 0 0 0 ,1 1 ,4 2 10 ,16 ,14 0 
Rancagua& ,265211 ,3634 ,1370.2 ,29 ,10.9 ,1270 ,478.9 ,1269 ,478.5 ,0 0 0 9 4 7 3 8 13 27 87 ,176 222 ,282 424 653 ,1047 ,650 22 
Rengo& ,63710 ,416 ,653.0 ,2 ,3.1 ,150 ,235.4 ,150 ,235.4 ,0 0 0 1 2 0 0 4 5 3 8 ,19 30 ,26 43 74 ,114 ,87 0 
Requinoa& ,30371 ,222 ,731.0 ,2 ,6.6 ,90 ,296.3 ,90 ,296.3 ,0 0 0 2 O O 0 0 2 1 5 ,5 13 ,20 15 42 ,68 ,48 1 
San Fernando ,78642 ,210 ,267.0 ,5 ,6.4 ,82 ,104.3 ,82 ,104.3 ,0 0 0 2 1 1 0 2 0 2 8 ,9 23 ,16 22 26 ,57 ,40 1 
San Vicente& ,50617 ,218 ,430.7 ,4 ,7.9 ,61 ,120.5 ,61 ,120.5 ,0 0 0 0 3 1 0 0 3 3 16 ,25 16 ,12 21 37 ,46 ,34 1 
Santa Cruz8 ,41096 ,92 ,223.9 ,1 ,2.4 ,19 ,46.2 ,19 ,46.2 ,0 0 O 0 1 0 0 1 1 0 5 ,4 9 ,7 18 21 ,14 ,10 1 
Desconocido& ,- ,168 ,- ,0 ,- ,128 ,- ,128 ,- ,0 0 O 0 0 O 1 0 1 0 1 ,2 12 ,0 8 5 ,64 ,63 11 
Total ,991063 ,7423 ,749.0 ,81 ,8.2 ,2611 ,263.5 ,2609 ,263.3 ,1 0 1 22 16 11 11 20 49 67 224 ,398 497 ,547 823 1283 ,2030 ,1378 45 
