,SESESE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SESE
Comuna ,9 10 11 ,12 ,13 ,14 ,15 ,16 ,17 ,18 ,19 ,20 ,21 ,22 ,23 ,24 ,25 ,26 ,27 ,28 29 
Alhue ,O O O ,0 ,0 ,1 ,O ,O ,0 ,0 ,4 ,1 ,4 ,9 ,15 ,25 ,15 ,19 ,31 ,13 O 
Buin ,& 0 O O ,5 ,17 ,10 ,15 ,19 ,19 ,62 ,136 ,188 ,231 ,217 ,285 ,268 ,205 ,166 ,156 ,66 0 
Calera de Tango ,& O O O ,4 ,4 ,1 ,1 ,5 ,1 ,8 ,19 ,32 ,36 ,69 ,70 ,75 ,55 ,77 ,37 ,9 O 
Cerrillos ,& 1 3 1 ,4 ,11 ,13 ,21 ,21 ,67 ,227 ,205 ,277 ,316 ,276 ,348 ,338 ,243 ,179 ,157 ,64 O 
Cerro Navia ,& 0 2 10 ,16 ,15 ,14 ,37 ,50 ,108 ,268 ,573 ,697 ,725 ,759 ,761 ,643 ,547 ,321 ,240 ,75 0 
Colina ,& 1 3 7 ,28 ,15 ,26 ,17 ,24 ,36 ,134 ,371 ,538 ,609 ,614 ,604 ,419 ,340 ,247 ,169 ,85 O 
Conchali ,& 0 2 2 ,17 ,14 ,19 ,40 ,74 ,133 ,382 ,632 ,713 ,666 ,648 ,650 ,557 ,463 ,326 ,268 ,98 O 
Curacavi ,0 0 1 ,3 ,5 ,5 ,4 ,1 ,4 ,18 ,40 ,72 ,95 ,139 ,106 ,102 ,69 ,56 ,47 ,40 0 
EI Bosque ,& 0 O 1 ,14 ,23 ,34 ,53 ,46 ,89 ,223 ,405 ,553 ,549 ,745 ,854 ,715 ,569 ,476 ,362 ,129 O 
EI Monte ,& 0 O 1 ,1 ,1 ,7 ,4 ,3 ,7 ,16 ,41 ,74 ,142 ,101 ,128 ,128 ,151 ,101 ,101 ,33 O 
Estacion Central ,& 0 2 3 ,11 ,28 ,34 ,41 ,82 ,170 ,377 ,571 ,673 ,677 ,742 ,697 ,567 ,441 ,317 ,210 ,118 0 
Huechuraba ,& 1 O 5 ,21 ,10 ,19 ,21 ,33 ,57 ,204 ,373 ,500 ,451 ,421 ,392 ,287 ,307 ,173 ,141 ,58 O 
Independencia ,& 0 O 4 ,16 ,10 ,26 ,50 ,146 ,308 ,573 ,787 ,774 ,767 ,730 ,571 ,446 ,330 ,212 ,191 ,103 O 
Isla de Maipo ,& 0 O O ,2 ,1 ,6 ,2 ,O ,4 ,13 ,25 ,37 ,70 ,89 ,99 ,81 ,77 ,78 ,61 ,37 O 
La Cisterna ,& 0 O 3 ,10 ,13 ,20 ,18 ,28 ,64 ,120 ,242 ,328 ,306 ,425 ,412 ,313 ,283 ,179 ,113 ,55 0 
La Florida ,& 1 2 12 ,31 ,58 ,64 ,80 ,106 ,207 ,597 ,1034 ,1545 ,1723 ,1631 ,1680 ,1183 ,1082 ,828 ,501 ,224 O 
La Granja ,& O O 1 ,6 ,16 ,36 ,22 ,21 ,75 ,271 ,613 ,919 ,1025 ,805 ,814 ,640 ,518 ,350 ,333 ,93 O 
La Pintana ,& 1 1 3 ,10 ,21 ,35 ,50 ,94 ,156 ,340 ,725 ,897 ,1266 ,1363 ,1369 ,932 ,703 ,512 ,329 ,114 O 
La Reina ,& 0 0 12 ,17 ,12 ,18 ,8 ,13 ,41 ,75 ,125 ,221 ,307 ,253 ,240 ,222 ,183 ,130 ,114 ,56 0 
Lampa ,& 0 O O ,9 ,13 ,15 ,14 ,18 ,52 ,138 ,295 ,348 ,399 ,381 ,438 ,369 ,253 ,188 ,158 ,95 O 
Las Condes ,& 1 18 60 ,127 ,69 ,42 ,37 ,34 ,75 ,245 ,501 ,695 ,750 ,682 ,574 ,495 ,370 ,280 ,209 ,89 O 
Lo Barnechea ,& 0 2 14 ,55 ,30 ,23 ,37 ,40 ,65 ,152 ,268 ,399 ,415 ,363 ,386 ,306 ,131 ,102 ,76 ,29 0 
Lo Espejo ,& 1 O 1 ,5 ,9 ,25 ,30 ,21 ,73 ,166 ,345 ,431 ,379 ,522 ,558 ,400 ,361 ,265 ,173 ,69 O 
Lo Prado ,& 0 O 3 ,6 ,21 ,16 ,24 ,31 ,105 ,196 ,353 ,498 ,506 ,612 ,532 ,491 ,400 ,250 ,189 ,92 O 
Macul ,& 0 1 3 ,17 ,23 ,20 ,14 ,23 ,78 ,191 ,439 ,533 ,637 ,550 ,629 ,460 ,378 ,258 ,174 ,95 O 
Maipu ,& 0 1 13 ,51 ,73 ,83 ,96 ,116 ,156 ,430 ,908 ,1354 ,1582 ,1694 ,1859 ,1653 ,1268 ,965 ,671 ,299 O 
Maria Pinto ,& O O O ,O ,O ,O ,1 ,O ,2 ,2 ,18 ,25 ,36 ,37 ,40 ,26 ,29 ,46 ,28 ,13 O 
,& O ,6 ,5 ,5 ,,,37 ,,,212 ,351 ,479 ,471 ,413 ,,344 ,,120 O 
