,&0OO1,OO11,1,3,3,3,4,7,11,32,30,30,35,26,33,6,O
,O O O O ,O 0 O O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,1 ,1 ,4 ,O ,O 
Alegre ,& 0 O O 0 ,O 0 1 1 ,O ,O ,1 ,2 ,O ,9 ,18 ,9 ,11 ,15 ,23 ,12 ,26 ,1 ,O 
Buenas ,& 0 0 O 0 ,O 0 1 O ,2 ,O ,4 ,9 ,12 ,23 ,13 ,15 ,10 ,7 ,2 ,9 ,12 ,1 ,O 
,& 0 O O 1 ,0 0 O 0 ,1 ,O ,0 ,1 ,0 ,2 ,4 ,7 ,10 ,5 ,O ,2 ,3 ,O ,0 
,1 6 11 29 ,51 47 65 167 ,52 ,52 ,121 ,252 ,488 ,732 ,970 ,1078 ,1207 ,1064 ,973 ,853 ,694 ,117 ,0 
