SagradaFamilia,&,19469,81,416.0,1,5.1,16,,82.2,16,82.2
,,,,,,,,,172.8 ,80 ,172.8 
San Javier ,& ,49451 ,356 ,719.9 ,9 ,18.2 ,81 ,,163.8 ,81 ,163.8 
,,,,,,,,,80.3 ,8 ,80.3 
Talca ,& ,236724 ,1710 ,722.4 ,23 ,9.7 ,243 ,,102.7 ,241 ,101.8 
Teno ,,30850 ,193 ,625.6 ,3 ,9.7 ,45 ,,145.9 ,45 ,145.9 
Vichuquen ,,4381 ,4 ,91.3 ,0 ,0.0 ,3 ,,68.5 ,3 ,68.5 
Villa Alegre ,& ,17512 ,104 ,593.9 ,2 ,11.4 ,24 ,,137.0 ,24 ,137.0 
,,,,,,,,,62.5 ,11 ,57.3 
,,,,,,,,,- ,7 ,- 
Total ,,1131939 ,8315 ,734.6 ,121 ,10.7 ,1206 ,,106.5 ,1202 ,106.2 
