Comuna,Busquedasactivas(%),Positividad(%),CoberturaTesteo(%),Oportunidadnotificacion(%)
Aisen ,359 ,16 ,100 ,100 
Chile Chico ,773 ,- ,100 ,- 
Cisnes ,71 ,- ,933 ,- 
Cochrane ,00 ,- ,750 ,- 
Coyhaique ,312 ,- ,990 ,- 
Guaitecas ,600 ,- ,100 ,- 
Lago Verde ,- ,- ,- ,- 
O'Higgins ,- ,- ,100 ,- 
Rio ibanez ,- ,- ,100 ,- 
Tortel ,- ,- ,- ,- 
Total ,356 ,05 ,991 ,100 
