RioClaro,14753,22,149.1,8,54.2,8,54.2,0O02,01,13,2O2,2,1710
Romeral ,16170 ,53 ,327.8 ,21 ,129.9 ,21 ,129.9 ,0 O 0 1 ,2 0 ,O 10 ,0 O 0 ,5 ,12 18 5 O 
Sagrada Familia ,19469 ,14 ,71.9 ,7 ,36.0 ,7 ,36.0 ,O 0 O O ,O 1 ,O 1 ,O O 1 ,O ,4 4 3 O 
San Clemente ,46292 ,88 ,190.1 ,32 ,69.1 ,32 ,69.1 ,O O O O ,O 1 ,2 6 ,1 8 6 ,13 ,18 21 12 O 
San Javier ,49451 ,82 ,165.8 ,29 ,58.6 ,29 ,58.6 ,0 0 O O ,2 6 ,4 7 ,4 3 8 ,8 ,10 18 12 0 
San Rafael ,9959 ,59 ,592.4 ,12 ,120.5 ,12 ,120.5 ,0 O 0 O ,1 O ,1 1 ,0 0 5 ,10 ,28 7 6 O 
Talca & ,236724 ,433 ,182.9 ,108 ,45.6 ,108 ,45.6 ,O 3 9 13 ,19 11 ,16 74 ,16 12 21 ,50 ,71 77 41 0 
Teno & ,30850 ,22 ,71.3 ,8 ,25.9 ,8 ,25.9 ,O O O O ,O O ,1 1 ,1 3 1 ,3 ,4 5 3 O 
Vichuquen ,4381 ,O ,0.0 ,0 ,0.0 ,O ,0.0 ,0 0 O O ,O O ,0 0 ,0 O O ,0 ,O O O O 
Villa Alegre & ,17512 ,17 ,97.1 ,9 ,51.4 ,9 ,51.4 ,O O O O ,O O ,1 1 ,O O 1 ,2 ,2 6 4 O 
Yerbas Buenas ,19200 ,48 ,250.0 ,18 ,93.8 ,17 ,88.5 ,0 O O O ,O O ,1 O ,2 O 4 ,9 ,13 17 2 O 
Total ,1131939 ,2214 ,195.6 ,847 ,74.8 ,842 ,74.4 ,2 4 12 26 ,51 47 ,66 160 ,48 49 112 ,234 ,484 631 288 0 
