Comuna,,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeFallecidos,TasadeMortalidad,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Algarrobo ,& ,15174 ,106 ,698.6 ,7 ,46.1 ,4 ,26.4 ,3 ,19.8 
Cabildo ,& ,20663 ,272 ,1316.4 ,17 ,82.3 ,44 ,212.9 ,44 ,212.9 
Calera ,& ,53591 ,555 ,1035.6 ,13 ,24.3 ,117 ,218.3 ,117 ,218.3 
Calle Larga ,& ,16482 ,236 ,1431.9 ,O ,0.0 ,22 ,133.5 ,22 ,133.5 
Cartagena ,& ,25357 ,159 ,627.0 ,3 ,11.8 ,15 ,59.2 ,15 ,59.2 
Casablanca ,& ,29170 ,161 ,551.9 ,1 ,3.4 ,16 ,54.9 ,16 ,54.9 
Catemu ,,15213 ,99 ,650.8 ,3 ,19.7 ,14 ,92.0 ,14 ,92.0 
Con Con ,& ,45889 ,455 ,991.5 ,6 ,13.1 ,72 ,156.9 ,72 ,156.9 
EI Quisco ,,17742 ,146 ,822.9 ,3 ,16.9 ,18 ,101.5 ,18 ,101.5 
EI Tabo ,& ,14338 ,193 ,1346.1 ,8 ,55.8 ,16 ,111.6 ,16 ,111.6 
Hijuelas ,& ,19099 ,148 ,774.9 ,3 ,15.7 ,30 ,157.1 ,30 ,157.1 
Isla de Pascua ,,8277 ,5 ,60.4 ,0 ,0.0 ,O ,0.0 ,O ,0.0 
Juan Fernandez ,,1033 ,O ,0.0 ,0 ,0.0 ,O ,0.0 ,O ,0.0 
La Cruz ,,25321 ,142 ,560.8 ,2 ,7.9 ,21 ,82.9 ,21 ,82.9 
La Ligua ,& ,37739 ,292 ,773.7 ,10 ,26.5 ,42 ,111.3 ,42 ,111.3 
Limache ,& ,49931 ,671 ,1343.9 ,13 ,26.0 ,88 ,176.2 ,88 ,176.2 
Llaillay ,& ,26533 ,286 ,1077.9 ,5 ,18.8 ,54 ,203.5 ,54 ,203.5 
Los Andes ,& ,68093 ,890 ,1307.0 ,32 ,47.0 ,91 ,133.6 ,91 ,133.6 
Nogales ,& ,23490 ,121 ,515.1 ,1 ,4.3 ,26 ,110.7 ,25 ,106.4 
Olmue ,,19266 ,119 ,617.7 ,1 ,5.2 ,17 ,88.2 ,17 ,88.2 
Panquehue ,& ,7633 ,85 ,1113.6 ,0 ,0.0 ,23 ,301.3 ,23 ,301.3 
