Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Antartica ,137 ,O ,0.0 ,O ,0.0 ,0 ,0.0 
Cabo de Hornos ,1983 ,32 ,1613.7 ,0 ,0.0 ,0 ,0.0 
Laguna Blanca ,264 ,1 ,378.8 ,1 ,378.8 ,1 ,378.8 
Natales ,& 23782 ,540 ,2270.6 ,202 ,849.4 ,202 ,849.4 
Porvenir ,& 7323 ,214 ,2922.3 ,60 ,819.3 ,60 ,819.3 
Primavera ,& 694 ,13 ,1873.2 ,O ,0.0 ,O ,0.0 
Punta Arenas ,& 141984 ,6961 ,4902.7 ,1249 ,879.7 ,1246 ,877.6 
Rio Verde ,& 211 ,1 ,473.9 ,O ,0.0 ,O ,0.0 
San Gregorio ,681 ,2 ,293.7 ,O ,0.0 ,0 ,0.0 
Timaukel ,282 ,1 ,354.6 ,1 ,354.6 ,1 ,354.6 
Torres del Paine ,1021 ,O ,0.0 ,O ,0.0 ,0 ,0.0 
Desconocido ,& - ,29 ,- ,10 ,- ,10 ,- 
Total ,178362 ,7794 ,4369.8 ,1523 ,853.9 ,1520 ,852.2 
