Penco,&49865,498,998.7,4,8.0,80,160.4,80,160.4
Quilaco ,4179 ,20 ,478.6 ,0 ,0.0 ,4 ,95.7 ,4 ,95.7 
Quilleco ,10032 ,61 ,608.1 ,1 ,10.0 ,16 ,159.5 ,16 ,159.5 
San Pedro de la Paz ,145906 ,976 ,668.9 ,17 ,11.7 ,119 ,81.6 ,119 ,81.6 
San Rosendo ,3611 ,35 ,969.3 ,1 ,27.7 ,1 ,27.7 ,1 ,27.7 
Santa Barbara ,& 14592 ,151 ,1034.8 ,2 ,13.7 ,25 ,171.3 ,25 ,171.3 
Santa Juana ,14779 ,90 ,609.0 ,4 ,27.1 ,5 ,33.8 ,5 ,33.8 
Talcahuano ,& 158345 ,1351 ,853.2 ,12 ,7.6 ,190 ,120.0 ,189 ,119.4 
Tirua ,11019 ,32 ,290.4 ,0 ,0.0 ,2 ,18.2 ,2 ,18.2 
Tome ,& 58729 ,452 ,769.6 ,1 ,1.7 ,77 ,131.1 ,77 ,131.1 
Tucapel ,15205 ,156 ,1026.0 ,1 ,6.6 ,9 ,59.2 ,9 ,59.2 
Yumbel ,22132 ,214 ,966.9 ,1 ,4.5 ,12 ,54.2 ,12 ,54.2 
Desconocido ,& - ,184 ,- ,0 ,- ,53 ,- ,53 ,- 
Total ,1663696 ,12825 ,770.9 ,127 ,7.6 ,1536 ,92.3 ,1533 ,92.1 
