Comuna,,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeFallecidos,TasadeMortalidad,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Alhue ,& ,7405 ,201 ,2714.4 ,3 ,40.5 ,27 ,364.6 ,27 ,364.6 
Buin ,& ,109641 ,2317 ,2113.3 ,77 ,70.2 ,77 ,70.2 ,77 ,70.2 
Calera de Tango ,,28525 ,567 ,1987.7 ,7 ,24.5 ,15 ,52.6 ,15 ,52.6 
Cerrillos ,& ,88956 ,3022 ,3397.2 ,76 ,85.4 ,124 ,139.4 ,123 ,138.3 
Cerro Navia ,& ,142465 ,6383 ,4480.4 ,242 ,169.9 ,151 ,106.0 ,151 ,106.0 
Colina ,& ,180353 ,4518 ,2505.1 ,107 ,59.3 ,70 ,38.8 ,70 ,38.8 
Conchali ,& ,139195 ,6059 ,4352.9 ,219 ,157.3 ,132 ,94.8 ,132 ,94.8 
Curacavi ,,36430 ,865 ,2374.4 ,16 ,43.9 ,38 ,104.3 ,38 ,104.3 
Bosque ,& ,172000 ,6353 ,3693.6 ,202 ,117.4 ,165 ,95.9 ,162 ,94.2 
Monte ,& ,40014 ,1174 ,2934.0 ,40 ,100.0 ,63 ,157.4 ,63 ,157.4 
Estacion Central ,& ,206792 ,6136 ,2967.2 ,141 ,68.2 ,123 ,59.5 ,123 ,59.5 
Huechuraba ,& ,112528 ,3760 ,3341.4 ,135 ,120.0 ,115 ,102.2 ,115 ,102.2 
Independencia ,& ,142065 ,6384 ,4493.7 ,235 ,165.4 ,137 ,96.4 ,136 ,95.7 
Isla de Maipo ,& ,40171 ,992 ,2469.4 ,18 ,44.8 ,90 ,224.0 ,89 ,221.6 
Cisterna ,& ,100434 ,3146 ,3132.4 ,109 ,108.5 ,74 ,73.7 ,74 ,73.7 
Florida ,& ,402433 ,13357 ,3319.1 ,451 ,112.1 ,274 ,68.1 ,272 ,67.6 
Granja ,& ,122557 ,6904 ,5633.3 ,194 ,158.3 ,109 ,88.9 ,109 ,88.9 
Pintana ,& ,189335 ,9958 ,5259.5 ,304 ,160.6 ,242 ,127.8 ,239 ,126.2 
Reina ,& ,100252 ,2169 ,2163.5 ,85 ,84.8 ,44 ,43.9 ,44 ,43.9 
Lampa ,& ,126898 ,3437 ,2708.5 ,51 ,40.2 ,70 ,55.2 ,70 ,55.2 
Las Condes ,& ,330759 ,5726 ,1731.2 ,281 ,85.0 ,124 ,37.5 ,124 ,37.5 
Lo Barnechea ,& ,124076 ,3210 ,2587.1 ,68 ,54.8 ,76 ,61.3 ,75 ,60.4 
