LoEspejo&,103865,895,861.7,257,247.4,251,241.7,OO1,47,24,27,21,55,141,305,279,31O
Lo Prado& ,104403 ,721 ,690.6 ,142 ,136.0 ,141 ,135.1 ,0 1 2 ,5 19 ,13 ,20 ,30 ,97 ,137 ,226 ,137 ,33 1 
Macul8 ,134635 ,1157 ,859.4 ,410 ,304.5 ,404 ,300.1 ,0 1 3 ,15 21 ,17 ,13 ,20 ,77 ,168 ,364 ,385 ,72 1 
Maipus ,578605 ,2537 ,438.5 ,892 ,154.2 ,890 ,153.8 ,O O 13 ,47 67 ,75 ,76 ,111 ,129 ,307 ,678 ,805 ,225 4 
Maria Pinto& ,14926 ,16 ,107.2 ,3 ,20.1 ,3 ,20.1 ,O O O ,O 0 ,O ,1 ,O ,2 ,1 ,7 ,4 ,1 0 
Melipilla8 ,141612 ,412 ,290.9 ,173 ,122.2 ,173 ,122.2 ,O 1 1 ,4 5 ,5 ,8 ,21 ,31 ,65 ,83 ,106 ,82 0 
Nunoa& ,250192 ,1315 ,525.6 ,458 ,183.1 ,456 ,182.3 ,1 1 27 ,52 37 ,46 ,45 ,65 ,63 ,133 ,326 ,394 ,123 2 
Padre Hurtado& ,74188 ,243 ,327.5 ,70 ,94.4 ,69 ,93.0 ,O 1 O ,5 9 ,5 ,11 ,7 ,15 ,43 ,68 ,56 ,23 O 
Paine& ,82766 ,198 ,239.2 ,73 ,88.2 ,73 ,88.2 ,O 1 1 ,3 0 ,4 ,4 ,3 ,5 ,24 ,74 ,62 ,17 0 
Pedro Aguirre Cerda& ,107803 ,994 ,922.1 ,272 ,252.3 ,271 ,251.4 ,O 0 3 ,5 15 ,23 ,45 ,32 ,71 ,153 ,319 ,279 ,49 0 
Penaflor& ,101058 ,274 ,271.1 ,87 ,86.1 ,84 ,83.1 ,1 1 4 ,3 9 ,5 ,9 ,14 ,24 ,39 ,71 ,66 ,28 0 
Pefalolen& ,266798 ,2878 ,1078.7 ,1233 ,462.1 ,1229 ,460.6 ,O 3 9 ,26 34 ,37 ,50 ,66 ,117 ,362 ,813 ,1023 ,337 1 
Pirque8 ,30433 ,169 ,555.3 ,57 ,187.3 ,57 ,187.3 ,O 0 3 ,1 3 ,1 ,5 ,3 ,15 ,32 ,40 ,48 ,17 1 
Providencia& ,157749 ,846 ,536.3 ,295 ,187.0 ,292 ,185.1 ,O 3 29 ,61 20 ,22 ,30 ,32 ,34 ,88 ,202 ,219 ,103 3 
Pudahuel8 ,253139 ,1376 ,543.6 ,342 ,135.1 ,339 ,133.9 ,1 1 2 ,19 23 ,31 ,35 ,39 ,123 ,257 ,453 ,293 ,99 O 
Puente Alto& ,645909 ,4495 ,695.9 ,1381 ,213.8 ,1376 ,213.0 ,1 2 7 ,56 96 ,157 ,181 ,247 ,266 ,696 ,1198 ,1275 ,311 2 
Quilicura ,254694 ,1968 ,772.7 ,472 ,185.3 ,472 ,185.3 ,0 6 3 ,20 24 ,41 ,41 ,128 ,269 ,450 ,446 ,414 ,125 1 
Quinta Normal& ,136368 ,1036 ,759.7 ,207 ,151.8 ,205 ,150.3 ,O 2 4 ,13 24 ,36 ,47 ,49 ,97 ,212 ,311 ,190 ,49 2 
Recoleta& ,190075 ,2560 ,1346.8 ,536 ,282.0 ,533 ,280.4 ,O 0 5 ,15 19 ,31 ,45 ,105 ,268 ,635 ,813 ,491 ,133 O 
Renca& ,160847 ,1129 ,701.9 ,223 ,138.6 ,223 ,138.6 ,0 0 4 ,7 11 ,7 ,32 ,61 ,100 ,223 ,417 ,205 ,61 1 
San Bernardo& ,334836 ,2116 ,632.0 ,675 ,201.6 ,672 ,200.7 ,1 2 7 ,20 36 ,65 ,72 ,119 ,145 ,296 ,572 ,593 ,187 1 
San Joaquin& ,103485 ,1427 ,1378.9 ,467 ,451.3 ,455 ,439.7 ,O 1 1 ,14 22 ,15 ,37 ,38 ,77 ,205 ,460 ,466 ,90 1 
San Jose de Maipo ,18644 ,137 ,734.8 ,64 ,343.3 ,61 ,327.2 ,O 0 1 ,1 1 ,2 ,2 ,1 ,4 ,20 ,37 ,46 ,22 0 
San Miguel& ,133059 ,1205 ,905.6 ,383 ,287.8 ,379 ,284.8 ,0 0 3 ,25 21 ,25 ,44 ,47 ,70 ,171 ,354 ,348 ,96 1 
San Pedro ,11953 ,26 ,217.5 ,O ,0.0 ,0 ,0.0 ,0 0 O ,0 O ,0 ,O ,2 ,9 ,6 ,7 ,2 ,0 O 
San Ramon& ,86510 ,1329 ,1536.2 ,469 ,542.1 ,469 ,542.1 ,O O 1 ,4 11 ,9 ,11 ,40 ,87 ,228 ,417 ,416 ,105 0 
Santiago& ,503147 ,4618 ,917.8 ,1201 ,238.7 ,1194 ,237.3 ,1 2 28 ,95 95 ,134 ,155 ,166 ,346 ,837 ,1403 ,1052 ,300 4 
Talagante ,81838 ,183 ,223.6 ,58 ,70.9 ,58 ,70.9 ,O 0 O ,4 7 ,7 ,4 ,10 ,8 ,29 ,43 ,47 ,24 0 
Tiltil& ,21477 ,69 ,321.3 ,27 ,125.7 ,27 ,125.7 ,O O O ,2 1 ,2 ,1 ,1 ,3 ,6 ,20 ,26 ,7 O 
Vitacura& ,96774 ,569 ,588.0 ,217 ,224.2 ,217 ,224.2 ,O 7 31 ,46 29 ,13 ,5 ,5 ,13 ,52 ,137 ,168 ,61 2 
