Papudo,,6201,118,1902.9,9,145.1,9,145.1
Petorca ,,10558 ,146 ,1382.8 ,16 ,151.5 ,15 ,142.1 
Puchuncavi ,,20071 ,198 ,986.5 ,5 ,24.9 ,5 ,24.9 
Putaendo ,& ,17645 ,251 ,1422.5 ,7 ,39.7 ,7 ,39.7 
Quillota ,& ,97572 ,2076 ,2127.7 ,145 ,148.6 ,144 ,147.6 
Quilpue ,& ,167085 ,2057 ,1231.1 ,100 ,59.8 ,100 ,59.8 
Quintero ,& ,36135 ,477 ,1320.0 ,12 ,33.2 ,12 ,33.2 
Rinconada ,,11263 ,175 ,1553.8 ,1 ,8.9 ,1 ,8.9 
San Antonio ,& ,96761 ,1525 ,1576.0 ,81 ,83.7 ,81 ,83.7 
San Esteban ,,20643 ,252 ,1220.8 ,6 ,29.1 ,6 ,29.1 
San Felipe ,& ,83494 ,1337 ,1601.3 ,38 ,45.5 ,38 ,45.5 
Santa Maria ,& ,16367 ,287 ,1753.5 ,24 ,146.6 ,24 ,146.6 
Santo Domingo ,& ,11934 ,164 ,1374.2 ,10 ,83.8 ,10 ,83.8 
Valparaiso ,& ,315732 ,5519 ,1748.0 ,413 ,130.8 ,412 ,130.5 
Villa Alemana ,& ,139310 ,2011 ,1443.5 ,120 ,86.1 ,119 ,85.4 
Vina del Mar ,& ,361371 ,5199 ,1438.7 ,382 ,105.7 ,382 ,105.7 
Zapallar ,,7994 ,103 ,1288.5 ,5 ,62.5 ,4 ,50.0 
Desconocido ,& ,- ,410 ,- ,36 ,- ,36 ,- 
Total ,,1960170 ,30800 ,1571.3 ,2028 ,103.5 ,2021 ,103.1 
