SanJavier,49451,479,968.6,13,,26.3,,82,,165.8,82
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Yerbas Buenas ,19200 ,132 ,687.5 ,5 ,,26.0 ,,12 ,,62.5 ,12 
,,,,,,,,,,,
Total ,1131939 ,9989 ,882.5 ,190 ,,16.8 ,,935 ,,82.6 ,932 
,,,,,,,,,,,
Comuna ,SE SE SE SE ,SE SE SE ,SE SE SE SE ,SE ,SE ,SE SE ,SE ,SE ,SE ,SE SE SE ,SE SE SE 
,9 10 11 12 ,13 14 15 ,16 17 18 19 ,20 ,21 ,22 23 ,24 ,25 ,26 ,27 28 29 ,30 31 32 
Cauquenes ,O O 0 O ,2 3 1 ,9 2 1 6 ,13 ,14 ,53 54 ,44 ,50 ,43 ,28 43 19 ,13 6 0 
Chanco ,O O O O ,1 O O ,1 1 O 1 ,O ,1 ,O 8 ,6 ,9 ,1 ,1 10 6 ,2 O O 
Colbun ,& O O O O ,3 3 O ,O O 1 4 ,9 ,13 ,15 10 ,22 ,23 ,15 ,22 15 18 ,23 5 O 
Constitucion ,& 0 O 0 O ,3 3 5 ,7 4 1 2 ,3 ,5 ,6 20 ,24 ,45 ,52 ,37 39 54 ,47 9 O 
Curepto ,O O O O ,0 2 2 ,4 O 1 1 ,2 ,0 ,1 1 ,3 ,10 ,6 ,5 2 4 ,4 3 O 
Curico ,& O 1 2 3 ,6 3 12 ,10 10 12 20 ,44 ,148 ,192 278 ,262 ,236 ,219 ,165 157 136 ,146 54 O 
Empedrado ,O O O O ,0 O O ,O 0 O O ,O ,0 ,O 2 ,6 ,14 ,4 ,1 2 1 ,1 1 O 
Hualane ,O O O O ,0 0 O ,1 O 0 O ,3 ,15 ,29 29 ,20 ,11 ,4 ,1 O 2 ,0 O O 
Licanten ,O O O O ,0 1 O ,1 O 0 O ,O ,O ,2 5 ,4 ,5 ,1 ,O 3 O ,2 1 O 
Linares ,1 O O 2 ,5 5 4 ,6 3 4 13 ,17 ,18 ,30 42 ,82 ,92 ,78 ,81 84 64 ,68 37 O 
Longavi ,O O 0 1 ,0 1 1 ,1 0 2 5 ,12 ,11 ,23 28 ,52 ,34 ,25 ,28 25 6 ,11 3 0 
Maule ,O O O 1 ,1 2 6 ,12 3 O 3 ,14 ,13 ,28 31 ,36 ,49 ,38 ,52 46 61 ,44 10 O 
Molina ,O O O 1 ,2 O 1 ,3 O O 2 ,4 ,9 ,21 23 ,22 ,44 ,46 ,20 30 18 ,22 8 O 
Parral ,O O O 1 ,3 2 2 ,2 O 0 6 ,7 ,42 ,55 29 ,25 ,31 ,13 ,17 15 11 ,10 6 O 
