Pumanque,0,O,O,0,0O,O,OOO,O,0,0,2,O,1,1,0,O,0,0,O,O
Quinta de Tilcoco ,O ,O ,O ,1 ,O 0 ,O ,O O O ,O ,1 ,1 ,4 ,2 ,10 ,17 ,20 ,15 ,12 ,16 ,7 ,1 
Rancagua & ,O ,O ,O ,9 ,4 7 ,3 ,9 13 27 ,89 ,177 ,225 ,282 ,428 ,657 ,1102 ,933 ,694 ,493 ,280 ,148 ,20 
Rengo & ,0 ,O ,O ,1 ,3 0 ,O ,4 5 3 ,8 ,19 ,29 ,27 ,48 ,71 ,122 ,142 ,133 ,186 ,115 ,61 ,1 
Requinoa ,0 ,O ,0 ,2 ,O O ,O ,O 2 1 ,4 ,5 ,13 ,22 ,16 ,41 ,78 ,60 ,55 ,45 ,24 ,18 ,5 
San Fernando & ,O ,O ,O ,2 ,1 1 ,O ,2 O 2 ,8 ,9 ,23 ,16 ,22 ,28 ,55 ,59 ,50 ,61 ,52 ,52 ,6 
San Vicente & ,O ,O ,O ,O ,3 1 ,O ,O 3 3 ,16 ,27 ,17 ,14 ,24 ,37 ,58 ,52 ,51 ,55 ,55 ,39 ,1 
Santa Cruz & ,O ,O ,O ,O ,1 0 ,O ,1 1 0 ,5 ,4 ,10 ,7 ,18 ,21 ,16 ,20 ,22 ,24 ,14 ,19 ,6 
Desconocido & ,O ,O ,O ,O ,O 0 ,2 ,O O O ,1 ,2 ,12 ,O ,8 ,4 ,12 ,12 ,4 ,19 ,3 ,7 ,13 
Total ,1 ,0 ,1 ,23 ,17 11 ,13 ,21 48 68 ,226 ,400 ,503 ,559 ,843 ,1297 ,2097 ,1967 ,1550 ,1319 ,915 ,569 ,103 
