LoBarnechea,124076,238,191.8,73,58.8,73,58.8,O21452,26,16,34,32,51,11
Lo Espejo & ,103865 ,130 ,125.2 ,57 ,54.9 ,57 ,54.9 ,O 0 1 4 ,7 ,22 ,26 ,20 ,44 ,6 
Lo Prado & ,104403 ,170 ,162.8 ,95 ,91.0 ,95 ,91.0 ,0 1 2 5 ,18 ,13 ,19 ,25 ,70 ,17 
Macul & ,134635 ,136 ,101.0 ,63 ,46.8 ,62 ,46.1 ,0 1 3 12 ,21 ,15 ,11 ,16 ,45 ,12 
Maipu & ,578605 ,480 ,83.0 ,144 ,24.9 ,144 ,24.9 ,0 0 13 46 ,66 ,75 ,73 ,98 ,94 ,15 
Maria Pinto ,14926 ,3 ,20.1 ,2 ,13.4 ,2 ,13.4 ,O 0 0 0 ,0 ,0 ,1 ,0 ,2 ,0 
Melipilla & ,141612 ,74 ,52.3 ,36 ,25.4 ,36 ,25.4 ,0 1 1 4 ,6 ,4 ,8 ,21 ,19 ,10 
Nunoa & ,250192 ,329 ,131.5 ,70 ,28.0 ,70 ,28.0 ,1 1 26 52 ,37 ,46 ,45 ,61 ,46 ,14 
Padre Hurtado ,74188 ,55 ,74.1 ,22 ,29.7 ,22 ,29.7 ,0 1 0 5 ,9 ,5 ,11 ,7 ,13 ,4 
Paine & ,82766 ,21 ,25.4 ,7 ,8.5 ,7 ,8.5 ,O 1 1 2 ,0 ,4 ,4 ,2 ,5 ,2 
Pedro Aguirre Cerda ,107803 ,180 ,167.0 ,81 ,75.1 ,81 ,75.1 ,0 0 3 4 ,13 ,20 ,42 ,33 ,54 ,11 
Penaflor ,101058 ,67 ,66.3 ,29 ,28.7 ,29 ,28.7 ,0 1 4 3 ,9 ,4 ,7 ,13 ,20 ,6 
Penalolen ,266798 ,322 ,120.7 ,124 ,46.5 ,124 ,46.5 ,0 2 9 25 ,32 ,34 ,50 ,60 ,84 ,26 
Pirque & ,30433 ,30 ,98.6 ,17 ,55.9 ,17 ,55.9 ,0 0 3 1 ,3 ,1 ,5 ,3 ,13 ,1 
Providencia & ,157749 ,226 ,143.3 ,38 ,24.1 ,38 ,24.1 ,0 3 29 62 ,20 ,21 ,31 ,27 ,23 ,10 
Pudahuel & ,253139 ,233 ,92.0 ,97 ,38.3 ,96 ,37.9 ,1 1 2 20 ,21 ,29 ,38 ,35 ,73 ,13 
Puente Alto & ,645909 ,889 ,137.6 ,251 ,38.9 ,250 ,38.7 ,1 1 7 54 ,95 ,149 ,169 ,217 ,162 ,34 
Quilicura & ,254694 ,423 ,166.1 ,217 ,85.2 ,217 ,85.2 ,O 2 3 18 ,24 ,38 ,38 ,120 ,152 ,28 
Quinta Normal & ,136368 ,262 ,192.1 ,111 ,81.4 ,111 ,81.4 ,0 2 4 13 ,24 ,35 ,47 ,42 ,72 ,23 
Recoleta & ,190075 ,398 ,209.4 ,252 ,132.6 ,252 ,132.6 ,0 0 5 14 ,16 ,28 ,41 ,76 ,157 ,61 
Renca & ,160847 ,185 ,115.0 ,84 ,52.2 ,84 ,52.2 ,O O 4 7 ,11 ,5 ,31 ,58 ,56 ,13 
San Bernardo & ,334836 ,435 ,129.9 ,160 ,47.8 ,160 ,47.8 ,1 1 6 20 ,36 ,64 ,70 ,114 ,110 ,13 
San Joaquin & ,103485 ,183 ,176.8 ,71 ,68.6 ,71 ,68.6 ,0 0 1 14 ,22 ,13 ,35 ,39 ,48 ,11 
San Jose de Maipo ,18644 ,12 ,64.4 ,7 ,37.5 ,7 ,37.5 ,0 0 1 1 ,1 ,1 ,1 ,0 ,4 ,3 
San Miguel & ,133059 ,213 ,160.1 ,65 ,48.9 ,65 ,48.9 ,0 0 3 24 ,21 ,24 ,43 ,43 ,48 ,7 
San Pedro ,11953 ,8 ,66.9 ,7 ,58.6 ,7 ,58.6 ,0 0 0 0 ,O ,0 ,0 ,1 ,6 ,1 
San Ramon & ,86510 ,144 ,166.5 ,87 ,100.6 ,86 ,99.4 ,0 0 O 2 ,11 ,7 ,11 ,39 ,60 ,14 
Santiago & ,503147 ,980 ,194.8 ,389 ,77.3 ,387 ,76.9 ,2 0 27 94 ,89 ,128 ,150 ,153 ,264 ,73 
