ZonadeChile,Poblacion,NumerodeCasosAcumulados,Tasaincidenciaacumulada,NumerodeCasosActivos,TasadeCasosActivos
Region de Arica y Parinacota ,252110 ,3938 ,1562.0 ,1000 ,396.7 
Region de Tarapaca ,382773 ,8185 ,2138.3 ,636 ,166.2 
Region de Antofagasta ,691854 ,14481 ,2093.1 ,1339 ,193.5 
Region de Atacama ,314709 ,2162 ,687.0 ,445 ,141.4 
Region de Coquimbo ,836096 ,6064 ,725.3 ,971 ,116.1 
Region de Valparaiso ,1960170 ,21367 ,1090.1 ,1705 ,87.0 
Region Metropolitana de Santiago ,8125072 ,278890 ,3432.5 ,8741 ,107.6 
Region del Libertador General Bernardo OHiggins ,991063 ,11930 ,1203.8 ,1219 ,123.0 
Region del Maule ,1131939 ,9030 ,797.7 ,1062 ,93.8 
Region del Nuble ,511551 ,4163 ,813.8 ,414 ,80.9 
Region del Biobio ,1663696 ,11186 ,672.4 ,1420 ,85.4 
Region de la Araucania ,1014343 ,3865 ,381.0 ,205 ,20.2 
Region de Los Rios ,405835 ,892 ,219.8 ,87 ,21.4 
Region de Los Lagos ,891440 ,3269 ,366.7 ,631 ,70.8 
Region de Aysen del General Carlos lbanez del Campo ,107297 ,68 ,63.4 ,11 ,10.3 
Region de Magallanes y la Antartica Chilena ,178362 ,1663 ,932.4 ,73 ,40.9 
Desconocido ,- ,81 ,- ,36 ,- 
Total pais ,19458310 ,381234 ,1959.2 ,19995 ,102.8 
