Nacimiento&,27944,42,150.3,7,25.1,7,25.1,000,233,20,1,38,48,,620
Negrete ,10429 ,43 ,412.3 ,10 ,95.9 ,10 ,95.9 ,0 0 0 ,0 O 2 ,O O ,0 ,O 7 ,12 10 ,,8 4 O 
Penco ,49865 ,63 ,126.3 ,27 ,54.1 ,27 ,54.1 ,O O O ,1 3 3 ,3 8 ,O ,3 2 ,2 9 ,,11 18 O 
Quilaco ,4179 ,3 ,71.8 ,3 ,71.8 ,3 ,71.8 ,O O O ,O O O ,O O ,O ,O O ,O O ,,2 1 O 
Quilleco ,10032 ,5 ,49.8 ,4 ,39.9 ,4 ,39.9 ,0 O O ,0 O O ,0 0 ,0 ,0 0 ,0 1 ,,2 2 0 
San Pedro de la Paz ,145906 ,236 ,161.7 ,57 ,39.1 ,57 ,39.1 ,0 0 6 ,34 17 24 ,8 11 ,3 ,2 13 ,11 36 ,,55 16 O 
San Rosendo ,3611 ,5 ,138.5 ,3 ,83.1 ,3 ,83.1 ,O O O ,0 O O ,O 0 ,O ,O 1 ,1 O ,,1 2 O 
Santa Barbara ,14592 ,43 ,294.7 ,21 ,143.9 ,21 ,143.9 ,O O O ,O 2 O ,O O ,0 ,O 4 ,9 7 ,,18 3 O 
Santa Juana ,14779 ,8 ,54.1 ,6 ,40.6 ,6 ,40.6 ,0 O O ,O O 1 ,O 0 ,1 ,O O ,O O ,,2 4 O 
Talcahuano & ,158345 ,262 ,165.5 ,65 ,41.0 ,65 ,41.0 ,O O 1 ,16 16 17 ,14 14 ,20 ,17 19 ,18 39 ,,58 13 O 
Tirua ,11019 ,4 ,36.3 ,O ,0.0 ,O ,0.0 ,O O 0 ,1 2 1 ,O 0 ,0 ,O O ,O O ,,O O O 
Tome & ,58729 ,107 ,182.2 ,25 ,42.6 ,25 ,42.6 ,O O O ,9 11 12 ,7 9 ,1 ,5 16 ,4 8 ,,12 13 O 
Tucapel ,15205 ,35 ,230.2 ,23 ,151.3 ,23 ,151.3 ,O O O ,O O 1 ,O 0 ,0 ,O 1 ,4 6 ,,11 12 0 
Yumbel ,22132 ,35 ,158.1 ,11 ,49.7 ,11 ,49.7 ,O O O ,0 5 O ,1 1 ,1 ,2 4 ,3 5 ,,13 O O 
Total ,1663696 ,2638 ,158.6 ,781 ,46.9 ,779 ,46.8 ,1 2 29 ,140 157 149 ,99 100 ,65 ,84 209 ,239 480 ,,643 241 0 
