Region,Poblacion,Confirmados,Tasaincidencia
Bulnes ,22607 ,36 ,159.2 
Chillan ,198624 ,291 ,146.5 
Chillan Viejo ,33827 ,30 ,88.7 
Cobquecura ,5275 ,- ,0.0 
Coelemu ,16845 ,- ,17.8 
Coihueco ,28375 ,6 ,21.1 
EI Carmen ,12334 ,- ,16.2 
Ninhue ,5414 ,- ,0.0 
Niquen ,11567 ,-- ,0.0 
Pemuco ,8639 ,- ,23.2 
Pinto ,11880 ,9 ,75.8 
Portezuelo ,4940 ,- ,0.0 
Quillon ,18777 ,17 ,90.5 
Quirihue ,12192 ,- ,8.2 
Ranqui ,6261 ,7 ,111.8 
San Carlos ,56252 ,19 ,33.8 
San Fabian ,4654 ,6 ,128.9 
San Ignacio ,16624 ,6 ,36.1 
San Nicolas ,12172 ,10 ,82.2 
Treguaco ,5696 ,- ,0.0 
Yungay ,18596 ,26 ,139.8 
Por determinar ,,3 ,
Total ,511551 ,474 ,92.7 
