Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeFallecidos,TasadeMortalidad,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Bulnes ,& 22607 ,491 ,2171.9 ,8 ,35.4 ,66 ,291.9 ,66 ,291.9 
Chillan ,198624 ,1977 ,995.3 ,20 ,10.1 ,143 ,72.0 ,143 ,72.0 
Chillan Viejo ,33827 ,319 ,943.0 ,2 ,5.9 ,21 ,62.1 ,21 ,62.1 
Cobquecura ,5275 ,18 ,341.2 ,O ,0.0 ,16 ,303.3 ,16 ,303.3 
Coelemu ,16845 ,91 ,540.2 ,3 ,17.8 ,11 ,65.3 ,11 ,65.3 
Coihueco ,28375 ,236 ,831.7 ,5 ,17.6 ,20 ,70.5 ,20 ,70.5 
EI Carmen ,12334 ,103 ,835.1 ,3 ,24.3 ,0 ,0.0 ,O ,0.0 
Ninhue ,5414 ,54 ,997.4 ,3 ,55.4 ,3 ,55.4 ,3 ,55.4 
Niquen ,11567 ,118 ,1020.1 ,3 ,25.9 ,27 ,233.4 ,27 ,233.4 
Pemuco ,8639 ,105 ,1215.4 ,3 ,34.7 ,1 ,11.6 ,1 ,11.6 
Pinto ,11880 ,75 ,631.3 ,O ,0.0 ,6 ,50.5 ,6 ,50.5 
Portezuelo ,4940 ,23 ,465.6 ,O ,0.0 ,2 ,40.5 ,2 ,40.5 
Quillon ,18777 ,193 ,1027.9 ,4 ,21.3 ,7 ,37.3 ,7 ,37.3 
Quirihue ,12192 ,99 ,812.0 ,2 ,16.4 ,22 ,180.4 ,22 ,180.4 
Ranquil ,6261 ,49 ,782.6 ,O ,0.0 ,7 ,111.8 ,7 ,111.8 
San Carlos ,& 56252 ,528 ,938.6 ,6 ,10.7 ,25 ,44.4 ,25 ,44.4 
San Fabian ,4654 ,15 ,322.3 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 
San Ignacio ,16624 ,178 ,1070.7 ,6 ,36.1 ,2 ,12.0 ,2 ,12.0 
San Nicolas ,12172 ,137 ,1125.5 ,3 ,24.6 ,6 ,49.3 ,6 ,49.3 
Treguaco ,5696 ,15 ,263.3 ,1 ,17.6 ,7 ,122.9 ,7 ,122.9 
Yungay ,18596 ,146 ,785.1 ,1 ,5.4 ,10 ,53.8 ,10 ,53.8 
Desconocido ,& - ,3 ,- ,O ,- ,2 ,- ,2 ,- 
Total ,511551 ,4973 ,972.1 ,73 ,14.3 ,404 ,79.0 ,404 ,79.0 
