06-06-20,4432,5528
07-06-20 ,3492 ,4957 
08-06-20 ,7928 ,6831 
09-06-20 ,7234 ,5364 
10-06-20 ,6878 ,5604 
11-06-20 ,6402 ,5072 
12-06-20 ,6198 ,5762 
13-06-20 ,3977 ,5169 
14-06-20 ,3098 ,4615 
15-06-20 ,7374 ,6154 
16-06-20 ,6780 ,5267 
17-06-20 ,6255 ,4894 
18-06-20 ,6129 ,5075 
19-06-20 ,5993 ,5003 
20-06-20 ,3415 ,4714 
21-06-20 ,2647 ,3882 
22-06-20 ,6457 ,4851 
23-06-20 ,5535 ,4358 
24-06-20 ,5442 ,4015 
25-06-20 ,5088 ,3838 
26-06-20 ,4941 ,3927 
27-06-20 ,3257 ,3282 
28-06-20 ,2486 ,3124 
29-06-20 ,2337 ,3339 
30-06-20 ,4994 ,3684 
01-07-20 ,4789 ,3823 
02-07-20 ,4423 ,2869 
03-07-20 ,4320 ,3025 
04-07-20 ,2058 ,2610 
05-07-20 ,1950 ,2417 
06-07-20 ,4451 ,2822 
07-07-20 ,4223 ,2248 
08-07-20 ,3647 ,1625 
09-07-20 ,3389 ,1256 
10-07-20 ,2331 ,655 
11-07-20 ,685 ,121 
