Romeral8,16170,76,470.0,0,0.0,26,160.8,26,160.8,O0012001000O,512,19
Sagrada Familia& ,19469 ,32 ,164.4 ,0 ,0.0 ,17 ,87.3 ,17 ,87.3 ,0 O 0 0 O 1 0 1 O 1 1 ,0 3 ,7 
San Clemente& ,46292 ,129 ,278.7 ,1 ,2.2 ,52 ,112.3 ,52 ,112.3 ,0 O 0 0 0 1 2 6 1 8 6 ,13 18 ,20 
San Javier& ,49451 ,120 ,242.7 ,0 ,0.0 ,47 ,95.0 ,47 ,95.0 ,0 O 0 O 2 7 4 7 4 3 7 ,8 9 ,21 
San Rafael ,9959 ,71 ,712.9 ,0 ,0.0 ,16 ,160.7 ,16 ,160.7 ,0 0 0 0 1 0 1 1 O 0 5 ,10 28 ,7 
Talca& ,236724 ,607 ,256.4 ,3 ,1.3 ,200 ,84.5 ,200 ,84.5 ,O 3 9 13 19 11 16 74 16 12 21 ,50 73 ,78 
Teno& ,30850 ,34 ,110.2 ,1 ,3.2 ,12 ,38.9 ,12 ,38.9 ,0 O 0 O O 0 1 1 1 3 1 ,3 4 ,7 
Vichuquen ,4381 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 O 0 0 O 0 0 0 O 0 0 ,0 O ,0 
Villa Alegre ,17512 ,30 ,171.3 ,0 ,0.0 ,16 ,91.4 ,16 ,91.4 ,0 0 0 0 0 0 1 1 0 0 1 ,2 0 ,8 
Yerbas Buenas ,19200 ,62 ,322.9 ,2 ,10.4 ,11 ,57.3 ,11 ,57.3 ,0 O 0 O O 0 1 0 2 0 4 ,9 12 ,21 
Total ,1131939 ,3133 ,276.8 ,22 ,1.9 ,1050 ,92.8 ,1047 ,92.5 ,2 4 12 26 51 48 66 160 48 51 113 ,236 485 ,701 
