Comuna,,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeFallecidos,TasadeMortalidad,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Angol ,& ,56058 ,451 ,804.5 ,9 ,16.1 ,29 ,51.7 ,29 ,51.7 
Carahue ,,25486 ,88 ,345.3 ,O ,0.0 ,2 ,7.8 ,2 ,7.8 
Cholchol ,& ,12341 ,36 ,291.7 ,0 ,0.0 ,3 ,24.3 ,3 ,24.3 
Collipulli ,,26148 ,69 ,263.9 ,3 ,11.5 ,1 ,3.8 ,1 ,3.8 
Cunco ,,18055 ,82 ,454.2 ,2 ,11.1 ,9 ,49.8 ,9 ,49.8 
Curacautin ,& ,18178 ,31 ,170.5 ,1 ,5.5 ,5 ,27.5 ,5 ,27.5 
Curarrehue ,,7802 ,4 ,51.3 ,1 ,12.8 ,0 ,0.0 ,0 ,0.0 
Ercilla ,,8458 ,30 ,354.7 ,1 ,11.8 ,2 ,23.6 ,1 ,11.8 
Freire ,,25446 ,119 ,467.7 ,1 ,3.9 ,5 ,19.6 ,5 ,19.6 
Galvarino ,,12633 ,133 ,1052.8 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 
Gorbea ,,15148 ,38 ,250.9 ,1 ,6.6 ,0 ,0.0 ,0 ,0.0 
Lautaro ,,40746 ,150 ,368.1 ,3 ,7.4 ,21 ,51.5 ,20 ,49.1 
Loncoche ,& ,24739 ,83 ,335.5 ,2 ,8.1 ,1 ,4.0 ,1 ,4.0 
Lonquimay ,& ,11049 ,71 ,642.6 ,2 ,18.1 ,0 ,0.0 ,0 ,0.0 
Los Sauces ,,7517 ,22 ,292.7 ,0 ,0.0 ,1 ,13.3 ,1 ,13.3 
Lumaco ,,10050 ,42 ,417.9 ,O ,0.0 ,1 ,10.0 ,1 ,10.0 
Melipeuco ,,6265 ,11 ,175.6 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 
Nueva Imperia ,,33777 ,130 ,384.9 ,3 ,8.9 ,3 ,8.9 ,3 ,8.9 
Padre Las Casas ,& ,82110 ,215 ,261.8 ,5 ,6.1 ,13 ,15.8 ,13 ,15.8 
Perquenco ,,7223 ,43 ,595.3 ,0 ,0.0 ,2 ,27.7 ,2 ,27.7 
Pitrufquen ,,26096 ,97 ,371.7 ,0 ,0.0 ,2 ,7.7 ,2 ,7.7 
