,SESESESE,SE,SESE,SE,SE,SESE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SESE,SE
Comuna ,9 10 11 12 ,13 ,14 15 ,16 ,17 ,18 19 ,20 ,21 ,22 ,23 ,24 ,25 ,26 ,27 ,28 ,29 ,30 ,31 ,32 ,33 ,34 35 ,36 
Algarrobo ,0 O 1 4 ,4 ,O 0 ,0 ,2 ,4 6 ,13 ,10 ,7 ,19 ,21 ,8 ,7 ,2 ,3 ,2 ,O ,O ,2 ,1 ,11 2 ,O 
Cabildo ,0 0 0 0 ,0 ,O O ,O ,5 ,3 2 ,7 ,7 ,17 ,20 ,40 ,50 ,61 ,39 ,44 ,19 ,10 ,4 ,9 ,19 ,13 3 ,O 
Calera & ,0 O O 1 ,6 ,3 4 ,7 ,2 ,2 7 ,19 ,21 ,23 ,52 ,60 ,84 ,86 ,101 ,98 ,105 ,90 ,72 ,132 ,96 ,56 10 ,O 
Calle Larga ,0 O O O ,1 ,1 3 ,1 ,O ,4 3 ,8 ,29 ,26 ,27 ,24 ,24 ,41 ,20 ,9 ,8 ,12 ,17 ,7 ,29 ,O 4 ,O 
Cartagena & ,0 O O O ,0 ,2 O ,1 ,5 ,5 12 ,8 ,17 ,11 ,19 ,20 ,20 ,15 ,18 ,11 ,14 ,10 ,9 ,5 ,10 ,13 2 ,O 
Casablanca & ,0 O O 2 ,O ,1 1 ,0 ,O ,0 9 ,9 ,9 ,13 ,25 ,27 ,18 ,26 ,28 ,27 ,29 ,33 ,59 ,62 ,35 ,14 1 ,O 
Catemu ,O O O 1 ,O ,O O ,O ,O ,1 1 ,7 ,3 ,14 ,15 ,14 ,4 ,19 ,8 ,13 ,9 ,15 ,24 ,30 ,15 ,22 7 ,O 
Con Con & ,0 O O 4 ,4 ,3 1 ,0 ,11 ,6 9 ,16 ,19 ,27 ,53 ,45 ,53 ,82 ,75 ,58 ,35 ,15 ,20 ,23 ,28 ,28 1 ,O 
EI Quisco & ,0 O O 1 ,O ,4 2 ,4 ,O ,5 9 ,14 ,15 ,15 ,19 ,11 ,8 ,12 ,23 ,9 ,11 ,8 ,7 ,13 ,14 ,8 1 ,O 
EI Tabo ,0 O O O ,5 ,O 2 ,3 ,3 ,4 7 ,6 ,16 ,26 ,20 ,20 ,23 ,33 ,18 ,9 ,9 ,26 ,18 ,5 ,4 ,3 O ,O 
Hijuelas & ,O O O O ,O ,O 1 ,O ,O ,O O ,8 ,10 ,14 ,14 ,11 ,20 ,23 ,20 ,30 ,26 ,24 ,29 ,29 ,21 ,9 1 ,O 
Isla de Pascua ,0 O O 2 ,1 ,2 O ,O ,O ,O O ,O ,O ,0 ,O ,O ,O ,O ,O ,O ,0 ,0 ,O ,O ,O ,O O ,O 
Juan Fernandez ,0 O O O ,O ,O O ,0 ,O ,O O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O O ,O 
La Cruz & ,0 1 O 1 ,2 ,3 1 ,O ,1 ,8 7 ,4 ,5 ,14 ,16 ,11 ,14 ,25 ,17 ,23 ,30 ,38 ,22 ,16 ,23 ,14 1 ,O 
La Ligua ,0 O 0 2 ,O ,1 O ,0 ,O ,1 2 ,10 ,17 ,27 ,34 ,51 ,31 ,44 ,48 ,48 ,52 ,65 ,52 ,57 ,60 ,63 8 ,O 
Limache & ,0 0 0 3 ,O ,5 9 ,7 ,1 ,7 25 ,33 ,25 ,36 ,87 ,100 ,105 ,88 ,94 ,65 ,58 ,44 ,51 ,89 ,48 ,56 8 ,O 
Llaillay ,O O O 1 ,1 ,O O ,O ,1 ,3 5 ,31 ,23 ,26 ,33 ,22 ,34 ,28 ,31 ,49 ,22 ,26 ,24 ,30 ,5 ,18 13 ,O 
Los Andes ,O O O 2 ,3 ,O 4 ,O ,2 ,9 21 ,57 ,85 ,94 ,142 ,112 ,109 ,99 ,88 ,64 ,66 ,53 ,26 ,33 ,9 ,18 6 ,O 
Nogales ,0 O 0 0 ,0 ,0 0 ,0 ,O ,2 4 ,6 ,6 ,7 ,9 ,16 ,19 ,16 ,21 ,21 ,39 ,33 ,27 ,40 ,35 ,47 11 ,O 
