SagradaFamilia,19469,120,616.4,11,56.5,11,56.5
San Clemente ,46292 ,612 ,1322.0 ,38 ,82.1 ,38 ,82.1 
San Javier ,& 49451 ,540 ,1092.0 ,23 ,46.5 ,23 ,46.5 
San Rafael ,9959 ,163 ,1636.7 ,28 ,281.2 ,28 ,281.2 
Talca ,& 236724 ,2372 ,1002.0 ,226 ,95.5 ,226 ,95.5 
Teno ,& 30850 ,329 ,1066.5 ,25 ,81.0 ,25 ,81.0 
Vichuquen ,4381 ,6 ,137.0 ,O ,0.0 ,O ,0.0 
Villa Alegre ,17512 ,163 ,930.8 ,10 ,57.1 ,9 ,51.4 
Yerbas Buenas ,19200 ,166 ,864.6 ,16 ,83.3 ,16 ,83.3 
Desconocido ,& - ,6 ,- ,0 ,- ,0 ,- 
Total ,1131939 ,11660 ,1030.1 ,862 ,76.2 ,860 ,76.0 
