Comuna,,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeFallecidos,TasadeMortalidad,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Andacollo ,& ,11791 ,59 ,500.4 ,1 ,8.5 ,6 ,50.9 ,6 ,50.9 
Canela ,,9546 ,28 ,293.3 ,1 ,10.5 ,2 ,21.0 ,2 ,21.0 
Combarbala ,& ,13884 ,38 ,273.7 ,O ,0.0 ,4 ,28.8 ,4 ,28.8 
Coquimbo ,& ,256735 ,2928 ,1140.5 ,21 ,8.2 ,436 ,169.8 ,435 ,169.4 
Illapel ,& ,32801 ,327 ,996.9 ,2 ,6.1 ,43 ,131.1 ,43 ,131.1 
La Higuera ,,4450 ,85 ,1910.1 ,0 ,0.0 ,28 ,629.2 ,28 ,629.2 
La Serena ,& ,249656 ,2514 ,1007.0 ,25 ,10.0 ,427 ,171.0 ,427 ,171.0 
Los Vilos ,,23374 ,138 ,590.4 ,3 ,12.8 ,14 ,59.9 ,14 ,59.9 
Monte Patria ,,32527 ,285 ,876.2 ,4 ,12.3 ,24 ,73.8 ,24 ,73.8 
Ovalle ,& ,121269 ,1373 ,1132.2 ,22 ,18.1 ,131 ,108.0 ,131 ,108.0 
Paiguano ,,4675 ,12 ,256.7 ,O ,0.0 ,1 ,21.4 ,1 ,21.4 
Punitaqui ,,12165 ,94 ,772.7 ,5 ,41.1 ,5 ,41.1 ,5 ,41.1 
Rio Hurtado ,,4372 ,32 ,731.9 ,O ,0.0 ,3 ,68.6 ,3 ,68.6 
Salamanca ,,29110 ,156 ,535.9 ,1 ,3.4 ,16 ,55.0 ,16 ,55.0 
Vicuna ,& ,29741 ,156 ,524.5 ,1 ,3.4 ,21 ,70.6 ,21 ,70.6 
Desconocido ,& ,- ,134 ,- ,O ,- ,9 ,- ,9 ,- 
Total ,,836096 ,8359 ,999.8 ,86 ,10.3 ,1170 ,139.9 ,1169 ,139.8 
