Papudo,6201,114,1838.4,9,145.1,9,145.1
Petorca ,10558 ,139 ,1316.5 ,19 ,180.0 ,19 ,180.0 
Puchuncavi ,20071 ,197 ,981.5 ,11 ,54.8 ,11 ,54.8 
Putaendo ,17645 ,252 ,1428.2 ,8 ,45.3 ,8 ,45.3 
Quillota ,& 97572 ,2009 ,2059.0 ,163 ,167.1 ,162 ,166.0 
Quilpue ,& 167085 ,2023 ,1210.8 ,135 ,80.8 ,135 ,80.8 
Quintero ,36135 ,466 ,1289.6 ,10 ,27.7 ,10 ,27.7 
Rinconada ,& 11263 ,174 ,1544.9 ,1 ,8.9 ,1 ,8.9 
San Antonio ,96761 ,1496 ,1546.1 ,108 ,111.6 ,107 ,110.6 
San Esteban ,& 20643 ,249 ,1206.2 ,11 ,53.3 ,11 ,53.3 
San Felipe ,& 83494 ,1326 ,1588.1 ,53 ,63.5 ,53 ,63.5 
Santa Maria ,16367 ,272 ,1661.9 ,14 ,85.5 ,14 ,85.5 
Santo Domingo ,11934 ,159 ,1332.3 ,9 ,75.4 ,9 ,75.4 
Valparaiso ,& 315732 ,5307 ,1680.9 ,409 ,129.5 ,408 ,129.2 
Villa Alemana ,& 139310 ,1955 ,1403.3 ,149 ,107.0 ,148 ,106.2 
Vina del Mar ,& 361371 ,5007 ,1385.6 ,430 ,119.0 ,426 ,117.9 
Zapallar ,7994 ,101 ,1263.4 ,8 ,100.1 ,8 ,100.1 
Desconocido ,& - ,400 ,- ,29 ,- ,29 ,- 
Total ,1960170 ,29820 ,1521.3 ,2194 ,111.9 ,2184 ,111.4 
