Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Bulnes ,& 22607 ,625 ,2764.6 ,62 ,274.3 ,62 ,274.3 
Chillan ,& 198624 ,2833 ,1426.3 ,472 ,237.6 ,472 ,237.6 
Chillan Viejo ,33827 ,447 ,1321.4 ,71 ,209.9 ,71 ,209.9 
Cobquecura ,5275 ,25 ,473.9 ,5 ,94.8 ,5 ,94.8 
Coelemu ,16845 ,100 ,593.6 ,7 ,41.6 ,7 ,41.6 
Coihueco ,28375 ,297 ,1046.7 ,27 ,95.2 ,27 ,95.2 
EI Carmen ,12334 ,156 ,1264.8 ,36 ,291.9 ,36 ,291.9 
Ninhue ,5414 ,58 ,1071.3 ,3 ,55.4 ,3 ,55.4 
Niquen ,11567 ,148 ,1279.5 ,8 ,69.2 ,8 ,69.2 
Pemuco ,8639 ,124 ,1435.4 ,11 ,127.3 ,11 ,127.3 
Pinto ,11880 ,88 ,740.7 ,7 ,58.9 ,7 ,58.9 
Portezuelo ,4940 ,32 ,647.8 ,6 ,121.5 ,6 ,121.5 
Quillon ,& 18777 ,285 ,1517.8 ,70 ,372.8 ,70 ,372.8 
Quirihue ,12192 ,133 ,1090.9 ,9 ,73.8 ,9 ,73.8 
Ranquil ,6261 ,57 ,910.4 ,3 ,47.9 ,3 ,47.9 
San Carlos ,56252 ,636 ,1130.6 ,66 ,117.3 ,66 ,117.3 
San Fabian ,4654 ,21 ,451.2 ,4 ,85.9 ,4 ,85.9 
San Ignacio ,16624 ,192 ,1155.0 ,8 ,48.1 ,8 ,48.1 
San Nicolas ,12172 ,159 ,1306.3 ,14 ,115.0 ,14 ,115.0 
Treguaco ,5696 ,57 ,1000.7 ,30 ,526.7 ,30 ,526.7 
Yungay ,18596 ,160 ,860.4 ,7 ,37.6 ,7 ,37.6 
Desconocido ,& - ,3 ,- ,1 ,- ,1 ,- 
Total ,511551 ,6636 ,1297.2 ,927 ,181.2 ,927 ,181.2 
