Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeFallecidos,TasadeMortalidad,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Alto Hospicio ,& 129999 ,2864 ,2203.1 ,51 ,39.2 ,201 ,154.6 ,201 ,154.6 
Camina ,1375 ,50 ,3636.4 ,2 ,145.5 ,8 ,581.8 ,8 ,581.8 
Colchane ,1583 ,93 ,5874.9 ,3 ,189.5 ,1 ,63.2 ,1 ,63.2 
Huara ,3000 ,145 ,4833.3 ,4 ,133.3 ,11 ,366.7 ,11 ,366.7 
Iquique ,& 223463 ,5393 ,2413.4 ,111 ,49.7 ,388 ,173.6 ,387 ,173.2 
Pica ,& 5958 ,294 ,4934.5 ,2 ,33.6 ,40 ,671.4 ,40 ,671.4 
Pozo Almonte ,& 17395 ,829 ,4765.7 ,14 ,80.5 ,78 ,448.4 ,78 ,448.4 
Desconocido ,& - ,420 ,- ,0 ,- ,27 ,- ,27 ,- 
Total ,382773 ,10088 ,2635.5 ,187 ,48.9 ,754 ,197.0 ,753 ,196.7 
