Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeFallecidos,TasadeMortalidad,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Corral ,5447 ,26 ,477.3 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 
Futrono ,15261 ,61 ,399.7 ,O ,0.0 ,O ,0.0 ,0 ,0.0 
La Union ,39538 ,107 ,270.6 ,3 ,7.6 ,5 ,12.6 ,5 ,12.6 
Lago Ranco ,10292 ,8 ,77.7 ,0 ,0.0 ,1 ,9.7 ,1 ,9.7 
Lanco ,17652 ,32 ,181.3 ,O ,0.0 ,1 ,5.7 ,1 ,5.7 
Los Lagos ,20518 ,63 ,307.0 ,1 ,4.9 ,0 ,0.0 ,0 ,0.0 
Mafil ,7389 ,32 ,433.1 ,0 ,0.0 ,3 ,40.6 ,3 ,40.6 
Mariquina ,23250 ,38 ,163.4 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 
Paillaco ,20798 ,38 ,182.7 ,1 ,4.8 ,O ,0.0 ,0 ,0.0 
Panguipulli ,& 35991 ,70 ,194.5 ,1 ,2.8 ,4 ,11.1 ,4 ,11.1 
Rio Bueno ,32925 ,57 ,173.1 ,0 ,0.0 ,17 ,51.6 ,17 ,51.6 
Valdivia ,& 176774 ,516 ,291.9 ,7 ,4.0 ,58 ,32.8 ,58 ,32.8 
Desconocido ,& - ,7 ,- ,O ,- ,1 ,- ,1 ,- 
Total ,405835 ,1055 ,260.0 ,13 ,3.2 ,90 ,22.2 ,90 ,22.2 
