Penco,49865,24,48.1,3,6.0,3,
Quilaco ,4179 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 
Quilleco ,10032 ,0 ,0.0 ,0 ,0.0 ,0 ,
San Pedro de la Paz ,145906 ,133 ,91.2 ,21 ,14.4 ,21 ,14.4 
San Rosendo ,3611 ,2 ,55.4 ,2 ,55.4 ,2 ,55.4 
Santa Barbara ,14592 ,14 ,95.9 ,10 ,68.5 ,10 ,
Santa Juana ,14779 ,2 ,13.5 ,O ,0.0 ,0 ,
Talcahuano ,158345 ,161 ,101.7 ,31 ,19.6 ,31 ,
Tirua ,11019 ,4 ,36.3 ,0 ,0.0 ,0 ,0.0 
Tome ,58729 ,73 ,124.3 ,9 ,15.3 ,9 ,
Tucapel ,15205 ,4 ,26.3 ,3 ,19.7 ,3 ,
Yumbel ,22132 ,14 ,63.3 ,1 ,4.5 ,1 ,
Total ,1663696 ,1313 ,78.9 ,352 ,21.2 ,351 ,21.1 
