Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeFallecidos,TasadeMortalidad,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Andacollo ,11791 ,53 ,449.5 ,1 ,8.5 ,2 ,17.0 ,2 ,17.0 
Canela ,9546 ,26 ,272.4 ,1 ,10.5 ,2 ,21.0 ,2 ,21.0 
Combarbala ,13884 ,35 ,252.1 ,0 ,0.0 ,2 ,14.4 ,2 ,14.4 
Coquimbo & ,256735 ,2555 ,995.2 ,17 ,6.6 ,415 ,161.6 ,414 ,161.3 
Illapel & ,32801 ,289 ,881.1 ,1 ,3.0 ,33 ,100.6 ,33 ,100.6 
La Higuera ,4450 ,64 ,1438.2 ,O ,0.0 ,19 ,427.0 ,19 ,427.0 
La Serena & ,249656 ,2180 ,873.2 ,21 ,8.4 ,413 ,165.4 ,413 ,165.4 
Los Vilos ,23374 ,124 ,530.5 ,2 ,8.6 ,22 ,94.1 ,22 ,94.1 
Monte & Patria ,32527 ,268 ,823.9 ,4 ,12.3 ,17 ,52.3 ,17 ,52.3 
Ovalle & ,121269 ,1249 ,1029.9 ,21 ,17.3 ,89 ,73.4 ,89 ,73.4 
Paiguano ,4675 ,11 ,235.3 ,0 ,0.0 ,2 ,42.8 ,2 ,42.8 
Punitaqui ,12165 ,90 ,739.8 ,5 ,41.1 ,5 ,41.1 ,5 ,41.1 
Rio Hurtado ,4372 ,29 ,663.3 ,O ,0.0 ,3 ,68.6 ,3 ,68.6 
Salamanca ,29110 ,136 ,467.2 ,1 ,3.4 ,36 ,123.7 ,36 ,123.7 
Vicuna ,29741 ,130 ,437.1 ,1 ,3.4 ,11 ,37.0 ,11 ,37.0 
Desconocido & ,- ,137 ,- ,O ,- ,13 ,- ,13 ,- 
Total ,836096 ,7376 ,882.2 ,75 ,9.0 ,1084 ,129.7 ,1083 ,129.5 
