RioClaro,14753,25,169.5,2,13.6,6,40.7,6,40.7,O002O,11,3,2O2,21,8,30
Romera ,16170 ,70 ,432.9 ,O ,0.0 ,25 ,154.6 ,25 ,154.6 ,O 0 0 1 2 ,O O ,10 ,O O O ,5 12 ,20 ,20 0 
Sagrada Familia& ,19469 ,23 ,118.1 ,O ,0.0 ,13 ,66.8 ,13 ,66.8 ,O 0 0 0 0 ,1 0 ,1 ,0 0 1 ,0 3 ,8 ,9 0 
San Clemente ,46292 ,111 ,239.8 ,1 ,2.2 ,40 ,86.4 ,40 ,86.4 ,O 0 O O O ,1 2 ,6 ,1 8 6 ,13 18 ,21 ,31 4 
San Javier& ,49451 ,104 ,210.3 ,0 ,0.0 ,41 ,82.9 ,41 ,82.9 ,O 0 O 0 2 ,7 4 ,7 ,4 3 7 ,8 9 ,20 ,31 2 
San Rafael ,9959 ,65 ,652.7 ,O ,0.0 ,12 ,120.5 ,12 ,120.5 ,O 0 0 0 1 ,0 1 ,1 ,O 0 5 ,10 28 ,7 ,12 0 
Talca8 ,236724 ,530 ,223.9 ,3 ,1.3 ,157 ,66.3 ,157 ,66.3 ,O 3 9 13 19 ,11 16 ,74 ,16 12 21 ,50 72 ,77 ,114 23 
Teno ,30850 ,31 ,100.5 ,1 ,3.2 ,14 ,45.4 ,14 ,45.4 ,O 0 O 0 O ,0 1 ,1 ,1 3 1 ,3 4 ,6 ,11 O 
Vichuquen ,4381 ,O ,0.0 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 ,O 0 0 O O ,0 0 ,0 ,O 0 0 ,O 0 ,0 ,0 0 
Villa Alegre& ,17512 ,23 ,131.3 ,O ,0.0 ,13 ,74.2 ,13 ,74.2 ,O 0 0 0 O ,0 1 ,1 ,O 0 1 ,2 0 ,8 ,10 O 
Yerbas Buenas& ,19200 ,59 ,307.3 ,1 ,5.2 ,11 ,57.3 ,11 ,57.3 ,O 0 O 0 0 ,O 1 ,O ,2 0 4 ,9 12 ,21 ,10 O 
Total ,1131939 ,2726 ,240.8 ,18 ,1.6 ,920 ,81.3 ,917 ,81.0 ,2 4 12 26 51 ,48 66 ,160 ,48 49 113 ,236 482 ,699 ,668 62 
