,,,,,,,,Numero,deCasos,segunFechadeIniciodeSintomas.NotificacionoToma,de,Muestra,,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Fallecidos ,Tasa de Mortalidad ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE SE SE SE SE SE SE SE 9 10 11 12 13 14 15 16 17 18 19 ,SE 20 ,SE SE 21 22 ,SE SE 23 24 ,SE 25 ,SE SE 26 27 
Chepica& ,15925 ,66 ,414.4 ,1 ,6.3 ,15 ,94.2 ,15 ,94.2 ,1 0 O 0 0 0 0 0 0 0 1 ,7 ,O 4 ,6 21 ,17 ,9 O 
Chimbarongo ,37696 ,99 ,262.6 ,3 ,8.0 ,27 ,71.6 ,27 ,71.6 ,0 0 O 2 1 O 0 0 1 1 5 ,13 ,8 7 ,12 17 ,16 ,16 0 
Codegua ,14096 ,97 ,688.1 ,2 ,14.2 ,37 ,262.5 ,37 ,262.5 ,0 O O 1 0 O O 0 O 0 1 ,3 ,7 10 ,13 18 ,22 ,22 O 
Coinco ,7831 ,64 ,817.3 ,2 ,25.5 ,23 ,293.7 ,23 ,293.7 ,0 O O 0 O O 0 O 1 0 4 ,10 ,8 3 ,5 7 ,17 ,9 0 
Coltauco ,21263 ,90 ,423.3 ,3 ,14.1 ,27 ,127.0 ,27 ,127.0 ,0 0 O O O O 0 0 O 0 15 ,9 ,13 4 ,4 9 ,19 ,16 1 
Dofihue ,22700 ,207 ,911.9 ,2 ,8.8 ,65 ,286.3 ,65 ,286.3 ,0 0 O 0 0 0 0 1 1 5 12 ,16 ,15 9 ,19 31 ,67 ,30 1 
Graneros ,36504 ,278 ,761.6 ,2 ,5.5 ,85 ,232.9 ,85 ,232.9 ,0 0 0 0 0 0 0 O 3 7 13 ,22 ,24 22 ,31 48 ,62 ,43 3 
La Estrella ,3114 ,25 ,802.8 ,0 ,0.0 ,14 ,449.6 ,14 ,449.6 ,0 O 0 0 O 0 O 0 0 0 0 ,O ,O 1 ,4 6 ,2 ,12 0 
Las Cabras& ,26749 ,96 ,358.9 ,2 ,7.5 ,39 ,145.8 ,39 ,145.8 ,0 0 O 0 O O 1 2 4 3 2 ,4 ,3 5 ,9 15 ,23 ,25 0 
Litueche ,6765 ,57 ,842.6 ,1 ,14.8 ,11 ,162.6 ,11 ,162.6 ,O 0 0 0 0 0 0 1 5 2 2 ,3 ,0 1 ,6 14 ,21 ,2 0 
Lolol ,7289 ,40 ,548.8 ,0 ,0.0 ,11 ,150.9 ,11 ,150.9 ,0 0 0 0 0 0 0 0 0 0 1 ,2 ,1 10 ,5 7 ,5 ,9 0 
Machali& ,59913 ,627 ,1046.5 ,6 ,10.0 ,269 ,449.0 ,268 ,447.3 ,0 0 1 4 1 0 4 0 5 4 9 ,18 ,25 36 ,55 103 ,219 ,141 2 
Malloa ,14163 ,46 ,324.8 ,2 ,14.1 ,14 ,98.8 ,14 ,98.8 ,0 0 0 0 0 0 0 0 0 0 1 ,3 ,1 4 ,6 11 ,11 ,9 0 
Marchihue ,7632 ,13 ,170.3 ,0 ,0.0 ,2 ,26.2 ,2 ,26.2 ,0 0 0 0 O 0 0 0 0 0 0 ,O ,1 3 ,0 5 ,3 ,1 0 
Mostazal ,27462 ,150 ,546.2 ,3 ,10.9 ,41 ,149.3 ,41 ,149.3 ,0 0 0 0 O 0 0 0 0 3 4 ,6 ,15 21 ,27 23 ,24 ,27 O 
Nancagua ,19141 ,56 ,292.6 ,0 ,0.0 ,4 ,20.9 ,4 ,20.9 ,0 0 O 0 0 0 0 0 0 1 1 ,11 ,5 9 ,7 12 ,8 ,2 0 
Navidad ,6904 ,52 ,753.2 ,0 ,0.0 ,3 ,43.5 ,3 ,43.5 ,0 0 0 0 0 0 0 0 3 0 6 ,2 ,6 1 ,11 12 ,8 ,3 0 
Olivar ,14624 ,112 ,765.9 ,1 ,6.8 ,42 ,287.2 ,42 ,287.2 ,0 0 0 0 1 2 2 1 0 0 8 ,4 ,12 5 ,12 16 ,26 ,23 0 
Palmilla ,13299 ,27 ,203.0 ,2 ,15.0 ,8 ,60.2 ,8 ,60.2 ,0 0 0 0 O O 0 0 1 0 0 ,2 ,3 1 ,5 7 ,5 ,2 1 
Paredones ,6349 ,11 ,173.3 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 O 0 O 0 0 0 0 0 0 ,2 ,2 1 ,3 2 ,1 ,0 0 
