Pelluhue,OOO1,O0,1,OOO1,7,19,12,14,10,O,3,1O
Pencahue ,0 O O O ,O 0 ,O ,3 O O O ,O ,8 4 ,3 ,7 ,3 ,6 ,11 5 ,O 
Rauco ,& 0 O O O ,1 1 ,O ,1 O O 1 ,1 ,7 7 ,6 ,15 ,3 ,9 ,7 ,10 O 
Retiro ,& O O O O ,O 0 ,1 ,O O 1 O ,1 ,17 42 ,14 ,18 ,12 ,12 ,12 ,O O 
Rio Claro ,0 O O 2 ,O 1 ,1 ,3 2 O 2 ,2 ,1 8 ,3 ,4 ,14 ,12 ,18 ,1 O 
Romera ,O O O 1 ,2 O ,O ,10 O O O ,8 ,13 20 ,23 ,35 ,57 ,34 ,13 6 ,O 
Sagrada Familia ,& O O O O ,O 1 ,O ,1 O 1 1 ,O ,3 7 ,17 ,11 ,10 ,10 ,13 8 ,O 
San Clemente ,& O 1 O O ,O 1 ,2 ,7 1 7 7 ,14 ,18 20 ,39 ,44 ,59 ,85 ,76 ,36 O 
San Javier ,& O O O 1 ,2 7 ,4 ,7 4 3 7 ,8 ,9 22 ,53 ,41 ,44 ,31 ,43 28 ,O 
San Rafae ,0 0 O O ,1 0 ,1 ,1 0 O 5 ,10 ,28 7 ,17 ,8 ,11 ,14 ,12 3 ,O 
Talca ,& O 4 9 13 ,19 11 ,16 ,74 17 12 23 ,53 ,74 83 ,168 ,209 ,270 ,254 ,226 ,100 O 
Teno ,& O O O 1 ,O O ,1 ,1 1 3 3 ,3 ,4 7 ,11 ,31 ,31 ,30 ,33 ,6 O 
Vichuquen ,0 O O 0 ,O 0 ,O ,O O O O ,O ,O O ,O ,O ,O ,O ,1 ,0 O 
Villa Alegre ,& 0 O O O ,O O ,1 ,1 O O 1 ,2 ,O 9 ,17 ,9 ,10 ,12 ,23 3 ,O 
Yerbas Buenas ,& O O O O ,O O ,1 ,O 2 O 5 ,9 ,12 23 ,13 ,16 ,9 ,7 ,2 2 ,O 
Desconocido ,& O O O 1 ,O 0 ,O ,O 1 O O ,1 ,O 4 ,7 ,7 ,11 ,5 ,O ,6 O 
,,,,,,,,,,,,
,,,,,,,,,,,,
