,,No,casos,
Region ,Poblacion ,Notificados ,Confirmados ,Tasa incidencia 
Arica y Parinacota ,252110 ,241 ,6 ,2.4 
Tarapaca ,382773 ,331 ,5 ,1.3 
Antofagasta ,691854 ,613 ,35 ,5.1 
Atacama ,314709 ,163 ,2 ,0.6 
Coquimbo ,836096 ,435 ,27 ,3.2 
Valparaiso ,1960170 ,1844 ,99 ,5.1 
Metropolitana ,8125072 ,14342 ,1215 ,15.0 
O'Higgins ,991063 ,496 ,16 ,1.6 
Maule ,1131939 ,1190 ,57 ,5.0 
Nuble ,511551 ,1159 ,164 ,32.1 
Biobio ,1663696 ,1937 ,93 ,5.6 
Araucania ,1014343 ,1108 ,205 ,20.2 
Los Rios ,405835 ,523 ,15 ,3.7 
Los Lagos ,891440 ,828 ,112 ,12.6 
Aisen ,107297 ,36 ,2 ,1.9 
Magallanes ,178362 ,430 ,35 ,19.6 
,,,,
