LoBarnechea,&,124076,3461,2789.4,100,80.6,100,80.6
Lo Espejo ,& ,103865 ,4407 ,4243.0 ,81 ,78.0 ,79 ,76.1 
Lo Prado ,& ,104403 ,5078 ,4863.8 ,115 ,110.2 ,115 ,110.2 
Macul ,& ,134635 ,5109 ,3794.7 ,98 ,72.8 ,97 ,72.0 
Maipu ,& ,578605 ,15118 ,2612.8 ,295 ,51.0 ,294 ,50.8 
Maria Pinto ,,14926 ,398 ,2666.5 ,19 ,127.3 ,19 ,127.3 
Melipilla ,& ,141612 ,4002 ,2826.0 ,116 ,81.9 ,115 ,81.2 
Nunoa ,& ,250192 ,5660 ,2262.3 ,116 ,46.4 ,113 ,45.2 
Padre Hurtado ,,74188 ,2226 ,3000.5 ,45 ,60.7 ,45 ,60.7 
Paine ,& ,82766 ,1995 ,2410.4 ,64 ,77.3 ,63 ,76.1 
Pedro Aguirre Cerda ,& ,107803 ,4459 ,4136.2 ,65 ,60.3 ,65 ,60.3 
Penaflor ,& ,101058 ,3008 ,2976.5 ,95 ,94.0 ,95 ,94.0 
Penalolen ,& ,266798 ,12017 ,4504.2 ,184 ,69.0 ,184 ,69.0 
Pirque ,,30433 ,1141 ,3749.2 ,21 ,69.0 ,20 ,65.7 
Providencia ,& ,157749 ,3335 ,2114.1 ,65 ,41.2 ,64 ,40.6 
Pudahuel ,& ,253139 ,10108 ,3993.1 ,204 ,80.6 ,204 ,80.6 
Puente Alto ,& ,645909 ,23973 ,3711.5 ,628 ,97.2 ,626 ,96.9 
Quilicura ,& ,254694 ,9359 ,3674.6 ,180 ,70.7 ,179 ,70.3 
Quinta Normal ,& ,136368 ,6281 ,4605.9 ,156 ,114.4 ,156 ,114.4 
Recoleta ,& ,190075 ,8682 ,4567.7 ,129 ,67.9 ,128 ,67.3 
Renca ,& ,160847 ,9005 ,5598.5 ,237 ,147.3 ,236 ,146.7 
San Bernardo ,& ,334836 ,11480 ,3428.5 ,207 ,61.8 ,207 ,61.8 
San Joaquin ,& ,103485 ,5128 ,4955.3 ,86 ,83.1 ,85 ,82.1 
San Jose de Maipo ,,18644 ,689 ,3695.6 ,5 ,26.8 ,5 ,26.8 
San Miguel ,& ,133059 ,5409 ,4065.1 ,162 ,121.8 ,160 ,120.2 
San Pedro ,,11953 ,250 ,2091.5 ,13 ,108.8 ,13 ,108.8 
San Ramon ,& ,86510 ,4601 ,5318.5 ,69 ,79.8 ,69 ,79.8 
Santiago ,& ,503147 ,15195 ,3020.0 ,176 ,35.0 ,176 ,35.0 
Talagante ,& ,81838 ,1786 ,2182.4 ,57 ,69.6 ,55 ,67.2 
Tiltil ,,21477 ,604 ,2812.3 ,18 ,83.8 ,18 ,83.8 
Vitacura ,& ,96774 ,1596 ,1649.2 ,44 ,45.5 ,44 ,45.5 
Desconocido ,& ,- ,15780 ,- ,138 ,- ,138 ,- 
Total ,,8125072 ,299962 ,3691.8 ,5887 ,72.5 ,5859 ,72.1 
