Pitrufquen&,26096,92,352.5,0,0.0,11,42.2,11,42.2,0004,9401,O3,1,615,209,1883
Pucon& ,29782 ,71 ,238.4 ,0 ,0.0 ,7 ,23.5 ,7 ,23.5 ,0 0 1 3 ,0 4 3 1 ,3 O ,3 ,2 12 ,16 9 ,3 4 5 2 
Puren ,12188 ,24 ,196.9 ,1 ,8.2 ,4 ,32.8 ,4 ,32.8 ,0 O 0 0 ,2 0 0 2 ,0 2 ,1 ,0 1 ,1 O ,6 5 4 O 
Renaico& ,10833 ,49 ,452.3 ,1 ,9.2 ,5 ,46.2 ,5 ,46.2 ,0 0 0 0 ,0 1 3 2 ,1 4 ,3 ,5 4 ,2 2 ,5 12 5 O 
Saavedra ,12793 ,96 ,750.4 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 1 1 ,O 1 5 8 ,17 13 ,18 ,11 9 ,4 5 ,3 0 0 0 
Temuco& ,302931 ,993 ,327.8 ,23 ,7.6 ,64 ,21.1 ,64 ,21.1 ,0 3 27 157 ,175 129 113 57 ,25 27 ,49 ,44 28 ,16 21 ,30 28 44 20 
Teodoro Schmidt& ,15786 ,29 ,183.7 ,0 ,0.0 ,2 ,12.7 ,2 ,12.7 ,0 0 0 1 ,2 0 1 1 ,0 0 ,O ,1 3 ,1 2 ,9 6 2 O 
Tolten ,10055 ,16 ,159.1 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 0 4 ,2 2 O 0 ,0 0 ,O ,2 5 ,1 0 ,0 0 0 0 
Traiguen& ,19314 ,47 ,243.3 ,0 ,0.0 ,13 ,67.3 ,13 ,67.3 ,0 0 0 0 ,0 1 0 1 ,0 0 ,1 ,4 4 ,5 6 ,7 5 9 4 
Victoria& ,35467 ,171 ,482.1 ,6 ,16.9 ,9 ,25.4 ,9 ,25.4 ,0 O 1 2 ,9 2 2 30 ,20 11 ,2 ,4 20 ,14 23 ,21 1 2 7 
Vilcun& ,30766 ,118 ,383.5 ,2 ,6.5 ,7 ,22.8 ,7 ,22.8 ,0 0 0 6 ,11 15 8 4 ,5 4 ,5 ,7 21 ,9 7 ,4 5 2 5 
Villarrica ,59103 ,98 ,165.8 ,0 ,0.0 ,15 ,25.4 ,15 ,25.4 ,0 0 0 2 ,10 6 1 0 ,1 0 ,1 ,2 4 ,7 7 ,23 19 14 1 
Desconocido& ,- ,9 ,- ,0 ,- ,1 ,- ,1 ,- ,0 0 0 0 ,1 1 O 0 ,0 0 ,O ,1 1 ,1 O ,1 2 O 1 
Total ,1014343 ,3444 ,339.5 ,64 ,6.3 ,307 ,30.3 ,305 ,30.1 ,1 4 33 218 ,294 245 200 200 ,133 109 ,151 ,185 297 ,278 298 ,284 207 205 102 
