,SESESESE,SESE,SESESESE,SESE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SESE
Comuna ,,,,,,,,,,,,,,,,,,,
,9 10 11 12 ,13 14 ,15 16 17 18 ,19 20 ,21 ,22 ,23 ,24 ,25 ,26 ,27 ,28 ,29 ,30 ,31 ,32 ,33 ,34 ,35 36 
Arica ,& 1 2 1 2 ,24 70 ,68 53 69 51 ,45 90 ,147 ,196 ,279 ,273 ,295 ,353 ,446 ,685 ,788 ,764 ,586 ,588 ,450 ,382 ,75 O 
Camarones ,& 0 O O ,0 0 0 ,0 O O O ,O O ,O ,O ,O ,O ,O ,O ,1 ,12 ,2 ,4 ,5 ,O ,1 ,O ,O O 
General Lagos ,0 O O O ,O O ,0 O O O ,O 0 ,O ,O ,O ,O ,O ,O ,O ,O ,1 ,1 ,15 ,36 ,7 ,2 ,O O 
Putre ,& 0 O O O ,O O ,0 O O O ,O 0 ,O ,O ,1 ,9 ,O ,O ,7 ,10 ,8 ,1 ,9 ,2 ,1 ,1 ,1 O 
Desconocido ,& 0 O O 0 ,O O ,1 O O O ,O O ,O ,O ,O ,O ,O ,O ,O ,O ,2 ,3 ,3 ,10 ,2 ,2 ,O O 
Total ,1 2 1 2 ,24 70 ,69 53 69 51 ,45 90 ,147 ,196 ,280 ,282 ,295 ,353 ,454 ,707 ,801 ,773 ,618 ,636 ,461 ,387 ,76 0 
