Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Alto del Carmen ,5729 ,39 ,680.7 ,3 ,52.4 ,2 ,34.9 
Caldera ,19426 ,297 ,1528.9 ,22 ,113.3 ,22 ,113.3 
Chanaral ,13164 ,187 ,1420.5 ,7 ,53.2 ,7 ,53.2 
Copiapo ,& 171766 ,4329 ,2520.3 ,131 ,76.3 ,131 ,76.3 
Diego de Almagro ,& 14358 ,204 ,1420.8 ,15 ,104.5 ,15 ,104.5 
Freirina ,& 7681 ,151 ,1965.9 ,12 ,156.2 ,12 ,156.2 
Huasco ,11264 ,146 ,1296.2 ,34 ,301.8 ,33 ,293.0 
Tierra Amarilla ,14312 ,348 ,2431.5 ,4 ,27.9 ,4 ,27.9 
Vallenar ,& 57009 ,1114 ,1954.1 ,182 ,319.2 ,181 ,317.5 
Desconocido ,& - ,38 ,- ,2 ,- ,2 ,- 
Total ,314709 ,6853 ,2177.6 ,412 ,130.9 ,409 ,130.0 
