,,,,021452,27,18,3635,64,132,228,279,235,570
254 ,244.5 ,245 ,235.9 ,0 0 1 4 ,7 ,25 ,28 22 ,57 ,154 ,326 ,388 ,210 ,73 0 
150 ,143.7 ,148 ,141.8 ,0 1 2 5 ,19 ,14 ,21 31 ,99 ,170 ,310 ,289 ,132 ,36 0 
,,,,0 1 3 15 ,21 ,17 ,13 21 ,79 ,170 ,399 ,483 ,393 ,69 0 
,,,,0 0 14 48 ,70 ,76 ,76 111 ,131 ,337 ,766 ,1078 ,848 ,210 0 
11 ,73.7 ,11 ,73.7 ,0 0 0 O ,O ,O ,1 0 ,2 ,1 ,16 ,19 ,7 ,4 0 
,,,,0 1 1 4 ,5 ,5 ,8 21 ,33 ,75 ,90 ,152 ,186 ,112 0 
,,,,1 1 27 53 ,37 ,46 ,45 65 ,64 ,139 ,341 ,490 ,520 ,111 0 
,,,,0 1 0 5 ,9 ,5 ,11 8 ,15 ,51 ,87 ,100 ,73 ,13 0 
64 ,77.3 ,64 ,77.3 ,0 1 1 3 ,0 ,4 ,4 3 ,5 ,24 ,76 ,78 ,69 ,5 0 
217 ,201.3 ,210 ,194.8 ,0 0 4 5 ,16 ,23 ,45 32 ,72 ,163 ,333 ,366 ,212 ,43 0 
,,,,1 1 5 3 ,9 ,5 ,9 14 ,26 ,42 ,95 ,127 ,90 ,19 0 
1202 ,450.5 ,1197 ,448.7 ,0 3 9 26 ,34 ,37 ,50 66 ,118 ,369 ,882 ,1227 ,1116 ,270 0 
,,,,0 0 3 1 ,4 ,1 ,5 3 ,15 ,33 ,43 ,59 ,100 ,22 0 
,,,,0 3 29 61 ,20 ,22 ,30 34 ,34 ,89 ,221 ,282 ,285 ,91 0 
,,,,2 1 2 19 ,23 ,31 ,36 42 ,126 ,302 ,584 ,684 ,352 ,84 0 
1455 ,225.3 ,1451 ,224.6 ,1 2 8 57 ,97 ,161 ,182 263 ,268 ,737 ,1356 ,1855 ,1449 ,262 0 
,,,,0 6 4 20 ,25 ,41 ,41 128 ,272 ,483 ,659 ,802 ,510 ,100 0 
,,,,0 2 5 14 ,25 ,36 ,49 51 ,97 ,240 ,397 ,397 ,190 ,44 1 
486 ,255.7 ,480 ,252.5 ,O 0 5 15 ,19 ,33 ,46 105 ,273 ,678 ,1040 ,838 ,453 ,118 0 
,,,,O O 4 7 ,11 ,7 ,33 61 ,100 ,261 ,528 ,373 ,240 ,50 0 
,,,,1 2 6 20 ,36 ,65 ,72 120 ,149 ,304 ,617 ,769 ,592 ,124 0 
,,,,0 2 1 14 ,22 ,14 ,37 40 ,79 ,216 ,495 ,588 ,290 ,76 0 
,,,,0 0 1 1 ,1 ,2 ,2 1 ,4 ,21 ,38 ,53 ,82 ,16 0 
,,,,0 0 3 25 ,21 ,25 ,45 47 ,72 ,181 ,393 ,443 ,333 ,99 0 
,,,,0 0 0 0 ,0 ,0 ,0 2 ,10 ,7 ,8 ,8 ,1 ,1 0 
297 ,343.3 ,297 ,343.3 ,0 0 1 5 ,11 ,10 ,12 40 ,87 ,234 ,434 ,501 ,318 ,45 0 
,,,,1 2 28 95 ,96 ,135 ,155 168 ,352 ,880 ,1540 ,1458 ,1116 ,252 0 
,,,,0 0 0 4 ,7 ,7 ,4 11 ,8 ,35 ,52 ,77 ,51 ,20 0 
34 ,158.3 ,34 ,158.3 ,0 0 O 2 ,1 ,2 ,1 1 ,3 ,7 ,29 ,37 ,33 ,5 0 
,,,,,,,,,,,,,
