Pitrufquen&,26.096,17,"65,1",0,"0,0",0,"0,0",0,0,O,4,7,6,O,O
Pucon ,29.782 ,10 ,"33,6 ",5 ,"16,8 ",5 ,"16,8 ",0 ,0 ,1 ,3 ,O ,3 ,3 ,0 
Puren ,12.188 ,2 ,"16,4 ",0 ,"0,0 ",O ,"0,0 ",0 ,O ,O ,O ,2 ,O ,O ,O 
Renaico ,10.833 ,2 ,"18,5 ",1 ,"9,2 ",0 ,"0,0 ",0 ,0 ,O ,O ,1 ,1 ,O ,0 
Saavedra ,12.793 ,1 ,"7,8 ",1 ,"7,8 ",1 ,"7,8 ",0 ,0 ,O ,O ,O ,0 ,1 ,O 
Temuco ,302.931 ,547 ,"180,6 ",119 ,"39,3 ",106 ,"35,0 ",O ,3 ,24 ,137 ,153 ,144 ,76 ,10 
Teodoro Schmidt ,15.786 ,5 ,"31,7 ",1 ,"6,3 ",1 ,"6,3 ",0 ,0 ,O ,2 ,2 ,O ,1 ,0 
Tolten & ,10.055 ,6 ,"59,7 ",0 ,"0,0 ",0 ,"0,0 ",0 ,0 ,0 ,3 ,1 ,2 ,0 ,0 
Traiguen ,19.314 ,2 ,"10,4 ",1 ,"5,2 ",1 ,"5,2 ",O ,0 ,0 ,0 ,O ,2 ,0 ,0 
Victoria & ,35.467 ,13 ,"36,7 ",1 ,"2,8 ",1 ,"2,8 ",O ,0 ,O ,2 ,7 ,4 ,O ,0 
Vilcun ,30.766 ,29 ,"94,3 ",6 ,"19,5 ",6 ,"19,5 ",0 ,0 ,O ,6 ,9 ,11 ,3 ,O 
Villarrica & ,59.103 ,17 ,"28,8 ",3 ,"5,1 ",3 ,"5,1 ",0 ,0 ,0 ,2 ,10 ,4 ,1 ,0 
Por determinar ,- ,23 ,- ,23 ,- ,23 ,- ,O ,O ,O ,O ,O ,0 ,O ,23 
Total ,1.014.343 ,907 ,"89,4 ",233 ,"23,0 ",213 ,"21,0 ",1 ,3 ,28 ,198 ,260 ,245 ,135 ,37 
