ZonadeChile,Poblacion,NumerodeCasosAcumulados,Tasaincidenciaacumulada,NumerodeCasosActivos,TasadeCasosActivos,NumerodeCasosRecuperados
Region de Arica y Parinacota ,252110 ,905 ,359.0 ,279 ,110.7 ,617 
Region de Tarapaca ,382773 ,3374 ,881.5 ,910 ,237.7 ,2429 
Region de Antofagasta ,691854 ,3186 ,460.5 ,436 ,63.0 ,2697 
Region de Atacama ,314709 ,347 ,110.3 ,131 ,41.6 ,216 
Region de Coquimbo ,836096 ,1139 ,136.2 ,348 ,41.6 ,779 
Region de Valparaiso ,1960170 ,5215 ,266.0 ,1429 ,72.9 ,3678 
Region Metropolitana de Santiago ,8125072 ,112029 ,1378.8 ,17988 ,221.4 ,92344 
Region del Libertador General Bernardo OHiggins ,991063 ,1280 ,129.2 ,242 ,24.4 ,1016 
Region del Maule ,1131939 ,2214 ,195.6 ,842 ,74.4 ,1346 
Region del Nuble ,511551 ,1566 ,306.1 ,309 ,60.4 ,1231 
Region del Biobio ,1663696 ,2638 ,158.6 ,779 ,46.8 ,1843 
Region de la Araucania ,1014343 ,2402 ,236.8 ,344 ,33.9 ,2008 
Region de Los Rios ,405835 ,433 ,106.7 ,92 ,22.7 ,333 
Region de Los Lagos ,891440 ,977 ,109.6 ,158 ,17.7 ,806 
Region de Aysen del General Carlos lbanez del Campo ,107297 ,17 ,15.8 ,5 ,4.7 ,12 
Region de Magallanes y la Antartica Chilena ,178362 ,1086 ,608.9 ,37 ,20.7 ,1030 
Desconocido ,- ,38 ,- ,5 ,,33 
Total pais ,19458310 ,138846 ,713.6 ,24334 ,125.1 ,112418 
