Comuna,,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeFallecidos,TasadeMortalidad,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Antofagasta ,& ,425725 ,7564 ,1776.7 ,134 ,31.5 ,692 ,162.5 ,689 ,161.8 
Calama ,& ,190336 ,6475 ,3401.9 ,196 ,103.0 ,314 ,165.0 ,313 ,164.4 
Maria Elena ,& ,6814 ,328 ,4813.6 ,13 ,190.8 ,18 ,264.2 ,18 ,264.2 
Mejillones ,,14776 ,477 ,3228.2 ,5 ,33.8 ,26 ,176.0 ,26 ,176.0 
Ollague ,,287 ,21 ,7317.1 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 
San Pedro de Atacama ,& ,10434 ,275 ,2635.6 ,7 ,67.1 ,35 ,335.4 ,35 ,335.4 
Sierra Gorda ,,1746 ,70 ,4009.2 ,O ,0.0 ,8 ,458.2 ,8 ,458.2 
Talta ,& ,13657 ,131 ,959.2 ,3 ,22.0 ,8 ,58.6 ,7 ,51.3 
Tocopilla ,& ,28079 ,278 ,990.1 ,8 ,28.5 ,8 ,28.5 ,8 ,28.5 
Desconocido ,& ,- ,222 ,- ,O ,- ,47 ,- ,47 ,- 
Total ,,691854 ,15841 ,2289.6 ,366 ,52.9 ,1156 ,167.1 ,1151 ,166.4 
