Comuna,No,Poblacion,Tasa
Alhue ,- ,7405 ,0.0 
Buin ,7 ,109641 ,6.4 
Calera de Tango ,6 ,28525 ,21.0 
Cerrillos ,- ,88956 ,3.4 
Cerro Navia ,19 ,142465 ,13.3 
Colina ,32 ,180353 ,17.7 
Conchali ,14 ,139195 ,10.1 
Curacavi ,5 ,36430 ,13.7 
EI Bosque ,18 ,172000 ,10.5 
EI Monte ,- ,40014 ,2.5 
Estacion Central ,16 ,206792 ,7.7 
Huechuraba ,17 ,112528 ,15.1 
Independencia ,15 ,142065 ,10.6 
Isla de Maipo ,- ,40171 ,0.0 
La Cisterna ,10 ,100434 ,10.0 
La Florida ,43 ,402433 ,10.7 
La Granja ,5 ,122557 ,4.1 
La Pintana ,- ,189335 ,1.1 
La Reina ,24 ,100252 ,23.9 
Lampa ,10 ,126898 ,7.9 
Las Condes ,181 ,330759 ,54.7 
Lo Barnechea ,68 ,124076 ,54.8 
Lo Espejo ,4 ,103865 ,3.9 
Lo Prado ,14 ,104403 ,13.4 
Macul ,10 ,134635 ,7.4 
Maipu ,43 ,578605 ,7.4 
Maria Pinto ,- ,14926 ,0.0 
Melipilla ,6 ,141612 ,4.2 
Nunoa ,67 ,250192 ,26.8 
Padre Hurtado ,10 ,74188 ,13.5 
Paine ,- ,82766 ,3.6 
Pedro Aguirre Cerda ,7 ,107803 ,6.5 
Penaflor ,10 ,101058 ,9.9 
Penalolen ,31 ,266798 ,11.6 
Pirque ,- ,30433 ,0.0 
Providencia ,82 ,157749 ,52.0 
Pudahue ,17 ,253139 ,6.7 
Puente Alto ,45 ,645909 ,7.0 
Quilicura ,17 ,254694 ,6.7 
