Comuna,Busquedasactivas(%),CoberturadeTesteo(%),Oportunidadnotificacion(%)
Chepica ,740 ,979 ,326 
Chimbarongo ,400 ,943 ,980 
Codegua ,212 ,985 ,985 
Coinco ,750 ,1000 ,978 
Coltauco ,603 ,1000 ,989 
Donihue ,438 ,954 ,936 
Graneros ,509 ,988 ,954 
La Estrella ,333 ,1000 ,667 
Las Cabras ,571 ,891 ,826 
Litueche ,880 ,910 ,879 
Lolol ,852 ,981 ,953 
Machali ,467 ,927 ,922 
Malloa ,708 ,989 ,977 
Marchihue ,675 ,975 ,949 
Mostazal ,695 ,985 ,812 
Nancagua ,708 ,979 ,844 
Navidad ,780 ,1000 ,706 
Olivar ,556 ,947 ,944 
Palmilla ,324 ,946 ,750 
Paredones ,773 ,1000 ,705 
Peralillo ,469 ,1000 ,688 
Peumo ,876 ,963 ,974 
Pichidegua ,584 ,974 ,942 
Pichilemu ,183 ,950 ,965 
Placilla ,95 ,905 ,947 
Pumanque ,978 ,1000 ,1000 
Quinta de Tilcoco ,622 ,978 ,989 
Rancagua ,623 ,965 ,903 
Rengo ,598 ,963 ,931 
Requinoa ,658 ,971 ,970 
San Fernando ,540 ,929 ,969 
San Vicente ,570 ,959 ,954 
Santa Cruz ,755 ,988 ,560 
Total ,620 ,964 ,894 
