Peralillo,11848,41,346.0,1,8.4,2,16.9,2,16.9,00O,0O00000O2,7712,111,1
Peumo& ,14952 ,22 ,147.1 ,3 ,20.1 ,8 ,53.5 ,8 ,53.5 ,0 O O ,O 1 O O 0 O 2 3 2 ,2 2 1 ,1 5 ,3 
Pichidegua ,20743 ,54 ,260.3 ,1 ,4.8 ,23 ,110.9 ,23 ,110.9 ,0 O 0 ,0 0 O 0 0 0 1 3 8 ,3 2 5 ,9 14 ,9 
Pichilemu ,17882 ,34 ,190.1 ,0 ,0.0 ,7 ,39.1 ,7 ,39.1 ,0 0 O ,O 0 O 0 0 O 2 2 4 ,7 4 2 ,6 5 ,2 
Placilla ,9164 ,32 ,349.2 ,0 ,0.0 ,4 ,43.6 ,4 ,43.6 ,0 0 0 ,0 1 0 0 0 0 0 1 4 ,3 6 10 ,3 2 ,2 
Pumanque ,3531 ,4 ,113.3 ,0 ,0.0 ,1 ,28.3 ,1 ,28.3 ,0 0 O ,0 0 O 0 0 O 0 O 0 ,0 2 0 ,1 1 ,O 
Quinta de Tilcoco ,13877 ,40 ,288.2 ,1 ,7.2 ,22 ,158.5 ,22 ,158.5 ,0 0 0 ,1 0 O 0 0 0 0 O 1 ,1 4 2 ,9 15 ,7 
Rancagua& ,265211 ,3257 ,1228.1 ,29 ,10.9 ,1346 ,507.5 ,1344 ,506.8 ,1 0 O ,8 4 7 3 8 12 26 87 176 ,221 284 427 ,647 994 ,352 
Rengo ,63710 ,381 ,598.0 ,3 ,4.7 ,165 ,259.0 ,164 ,257.4 ,0 0 0 ,1 2 0 0 4 5 3 8 19 ,30 26 43 ,75 111 ,54 
Requinoa& ,30371 ,204 ,671.7 ,2 ,6.6 ,98 ,322.7 ,98 ,322.7 ,0 0 O ,2 O O O O 2 1 5 5 ,13 20 16 ,42 66 ,32 
San Fernando& ,78642 ,190 ,241.6 ,5 ,6.4 ,78 ,99.2 ,77 ,97.9 ,0 0 0 ,2 1 1 0 2 0 2 8 9 ,23 16 22 ,26 54 ,24 
San Vicente ,50617 ,205 ,405.0 ,4 ,7.9 ,69 ,136.3 ,69 ,136.3 ,0 0 O ,0 3 1 0 0 3 3 16 25 ,16 12 21 ,36 45 ,24 
Santa Cruz ,41096 ,88 ,214.1 ,1 ,2.4 ,18 ,43.8 ,18 ,43.8 ,0 0 O ,0 1 0 0 1 1 0 5 4 ,9 7 18 ,24 14 ,4 
Desconocido& ,- ,141 ,- ,O ,- ,111 ,- ,111 ,- ,0 0 0 ,0 0 O 2 0 0 0 1 2 ,12 0 8 ,5 62 ,49 
Total ,991063 ,6682 ,674.2 ,79 ,8.0 ,2719 ,274.4 ,2714 ,273.8 ,2 0 1 ,21 16 11 12 20 47 66 224 398 ,496 548 825 ,1276 1935 ,784 
