ZonadeChile,Poblacion,NumerodeCasosAcumulados,Tasaincidenciaacumulada,NumerodeCasosActivos,TasadeCasosActivos
Region de Arica y Parinacota ,252110 ,5645 ,2239.1 ,815 ,323.3 
Region de Tarapaca ,382773 ,9678 ,2528.4 ,729 ,190.5 
Region de Antofagasta ,691854 ,16886 ,2440.7 ,1306 ,188.8 
Region de Atacama ,314709 ,3944 ,1253.2 ,1034 ,328.6 
Region de Coquimbo ,836096 ,8359 ,999.8 ,1169 ,139.8 
Region de Valparaiso ,1960170 ,26017 ,1327.3 ,2153 ,109.8 
Region Metropolitana de Santiago ,8125072 ,291235 ,3584.4 ,6970 ,85.8 
Region del Libertador General Bernardo OHiggins ,991063 ,13852 ,1397.7 ,1204 ,121.5 
Region del Maule ,1131939 ,10703 ,945.5 ,926 ,81.8 
Region del Nuble ,511551 ,4719 ,922.5 ,350 ,68.4 
Region del Biobio ,1663696 ,14213 ,854.3 ,1749 ,105.1 
Region de la Araucania ,1014343 ,4450 ,438.7 ,305 ,30.1 
Region de Los Rios ,405835 ,1016 ,250.3 ,77 ,19.0 
Region de Los Lagos ,891440 ,5207 ,584.1 ,1117 ,125.3 
Region de Aysen de General Carlos ibanez del Campo ,107297 ,95 ,88.5 ,19 ,17.7 
Region de Magallanes y la Antartica Chilena ,178362 ,2114 ,1185.2 ,307 ,172.1 
Desconocido ,- ,63 ,- ,2 ,- 
Total pais ,19458310 ,418196 ,2149.2 ,20232 ,104.0 
