Puqueldon,4201,0,0.0,0,,,,,,,,
Purranque ,21080 ,82 ,389.0 ,0 ,0.0 ,6 ,28.5 ,6 ,28.5 ,0 0 0 0 ,,3 12 5 1 4 
Puyehue ,11787 ,14 ,118.8 ,0 ,,,,,,,,
Queilen ,5543 ,0 ,0.0 ,0 ,,,,,,,,
Quellon ,29309 ,6 ,20.5 ,0 ,0.0 ,1 ,3.4 ,1 ,3.4 ,O 0 0 0 ,,0 O 0 O 0 
Quemchi ,8783 ,14 ,159.4 ,0 ,,,,,,,,
Quinchao ,8298 ,2 ,24.1 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 0 0 ,1 ,0 0 0 0 
Rio Negro ,14275 ,44 ,308.2 ,0 ,,,,,,,,
San Juan de la Costa ,7639 ,42 ,549.8 ,2 ,,,,,,,,
San Pablo ,10553 ,13 ,123.2 ,1 ,9.5 ,1 ,9.5 ,1 ,9.5 ,0 0 0 0 ,,2 4 0 3 0 
Desconocido& ,- ,52 ,- ,0 ,,,,,,,,
Total ,891440 ,2306 ,258.7 ,26 ,2.9 ,549 ,61.6 ,549 ,61.6 ,0 1 15 91 ,,145 118 60 45 39 
