,SESESESESE,SESE,SESE,SESE,SE,SE,SESE,SE,SE,SE,SE,SE,SESE,SE,SESE
Comuna ,9 10 11 12 13 ,14 15 ,16 17 ,18 19 ,20 ,21 ,22 23 ,24 ,25 ,26 ,27 ,28 ,29 30 ,31 ,32 33 
Chepica ,1 O O O O ,O O ,O O ,O 1 ,6 ,O ,4 6 ,22 ,18 ,20 ,16 ,26 ,18 13 ,3 ,3 O 
Chimbarongo ,& O O O 2 1 ,O 0 ,O 1 ,1 5 ,13 ,9 ,7 12 ,18 ,19 ,29 ,22 ,16 ,16 14 ,13 ,5 O 
Codegua ,& O O O 1 O ,O O ,O O ,O 1 ,3 ,7 ,10 13 ,17 ,21 ,34 ,24 ,27 ,29 23 ,10 ,6 O 
Coinco ,O 0 O O O ,O 0 ,O 1 ,O 4 ,11 ,8 ,3 5 ,7 ,20 ,9 ,15 ,12 ,11 4 ,11 ,4 O 
Coltauco ,& O O O O 0 ,O 0 ,O O ,0 15 ,9 ,13 ,4 4 ,9 ,20 ,22 ,17 ,26 ,31 46 ,28 ,23 O 
Donihue ,O O O O 1 ,O O ,1 1 ,5 12 ,16 ,14 ,11 20 ,32 ,68 ,59 ,56 ,44 ,35 21 ,24 ,7 O 
Graneros ,& O O O 1 O ,O O ,O 3 ,7 14 ,21 ,24 ,25 33 ,51 ,65 ,67 ,60 ,47 ,32 11 ,17 ,16 O 
La Estrella ,O O O O O ,O O ,O O ,0 O ,O ,0 ,1 4 ,6 ,2 ,12 ,6 ,O ,3 1 ,1 ,O O 
Las Cabras ,& O O O O O ,O 1 ,2 4 ,3 2 ,4 ,3 ,5 9 ,17 ,29 ,42 ,28 ,29 ,16 14 ,22 ,17 O 
Litueche ,O O O O O ,O O ,1 5 ,2 2 ,3 ,O ,1 6 ,15 ,21 ,8 ,6 ,3 ,2 6 ,4 ,5 O 
Lolol ,O O O O O ,O O ,O O ,O 1 ,2 ,1 ,11 5 ,7 ,5 ,13 ,1 ,O ,O O ,6 ,5 O 
Machali ,& O O 1 4 1 ,O 4 ,O 5 ,5 9 ,18 ,24 ,36 56 ,105 ,225 ,196 ,120 ,62 ,54 34 ,35 ,17 O 
Malloa ,& O O O O O ,O 0 ,O O ,O 1 ,3 ,3 ,4 6 ,11 ,15 ,17 ,10 ,14 ,23 18 ,9 ,2 O 
Marchihue ,O O O O O ,O O ,O O ,O O ,O ,2 ,3 O ,5 ,3 ,1 ,4 ,2 ,5 2 ,2 ,O O 
Mostazal ,& O 0O O O O ,O O ,O O ,3 4 ,6 ,15 ,21 28 ,23 ,25 ,40 ,31 ,18 ,15 14 ,17 ,7 O 
Nancagua ,O 0 O O O ,O O ,O O ,1 2 ,11 ,5 ,9 7 ,12 ,8 ,7 ,13 ,10 ,5 3 ,5 ,12 O 
Navidad ,O O O O O ,O O ,O 3 ,O 6 ,2 ,6 ,1 11 ,12 ,9 ,8 ,9 ,3 ,3 1 ,2 ,O O 
Olivar ,& O O O O 1 ,2 3 ,1 O ,O 7 ,4 ,13 ,5 13 ,16 ,28 ,34 ,36 ,17 ,9 15 ,12 ,7 O 
Palmilla ,O 0 O O O ,O O ,O 1 ,O O ,2 ,3 ,1 5 ,7 ,4 ,3 ,2 ,8 ,3 3 ,14 ,3 O 
Paredones ,O O O O O ,O O ,O O ,O O ,2 ,2 ,1 3 ,3 ,1 ,O ,3 ,1 ,4 2 ,7 ,1 O 
Peralillo ,O O O O O ,O O ,O O ,O O ,2 ,7 ,7 12 ,11 ,1 ,5 ,4 ,2 ,2 3 ,5 ,1 O 
Peumo ,& O O O O 1 ,O 0 ,O O ,2 3 ,2 ,2 ,2 1 ,2 ,5 ,6 ,2 ,14 ,20 5 ,17 ,8 O 
Pichidegua ,O O O O O ,O 0 ,O O ,1 3 ,8 ,3 ,3 7 ,9 ,15 ,25 ,30 ,21 ,16 22 ,50 ,29 O 
Pichilemu ,O O O O O ,O O ,O O ,2 2 ,4 ,7 ,4 2 ,6 ,6 ,4 ,0 ,12 ,4 1 ,O ,1 O 
Placilla ,O O O O 1 ,O O ,O O ,O 1 ,4 ,3 ,6 10 ,3 ,2 ,7 ,11 ,7 ,6 3 ,O ,5 O 
