Comuna,Busquedasactivas(%),Coberturadetesteo(%),Oportunidadnotificacion(%)
Antartica ,- ,- ,- 
Cabo de ,958 ,625 ,733 
Hornos ,,,
Laguna ,- ,- ,- 
Blanca ,,,
Natales ,620 ,984 ,866 
Porvenir ,734 ,969 ,952 
Primavera ,00 ,1000 ,1000 
Punta Arenas ,438 ,983 ,682 
RiO Verde ,- ,- ,-- 
San Gregorio ,- ,- ,- 
Timaukel ,- ,- ,- 
Torres del Paine ,962 ,1000 ,962 
Total ,465 ,981 ,705 
