ZonadeChile,Poblacion,NumerodeCasosAcumulados,Tasaincidenciaacumulada
Region de Arica y Parinacota ,252110 ,477 ,189.2 
Region de Tarapaca ,382773 ,1391 ,363.4 
Region de Antofagasta ,691854 ,1816 ,262.5 
Region de Atacama ,314709 ,177 ,56.2 
Region de Coquimbo ,836096 ,297 ,35.5 
Region de Valparaiso ,1960170 ,2054 ,104.8 
Region Metropolitana de Santiago ,8125072 ,48266 ,594.0 
Region del Libertador General Bernardo O'Higgins ,991063 ,503 ,50.8 
Region del Maule ,1131939 ,800 ,70.7 
Region del Nuble ,511551 ,1037 ,202.7 
Region del Biobio ,1663696 ,1313 ,78.9 
Region de la Araucania ,1014343 ,1732 ,170.8 
Region de Los Rios ,405835 ,263 ,64.8 
Region de Los Lagos ,891440 ,698 ,78.3 
Region de Aysen del General Carlos ibanez del Campo ,107297 ,5 ,4.7 
Region de Magallanes y la Antartica Chilena ,178362 ,992 ,556.2 
Desconocido ,- ,29 ,- 
Total pais ,19458310 ,61850 ,317.9 
