Papudo,6201,4,64.5,3,48.4,3,48.4,0O0,O0,OO0,OO0,40
Petorca ,10558 ,11 ,104.2 ,4 ,37.9 ,4 ,37.9 ,0 O O ,1 4 ,1 O O ,O O 1 ,3 1 
Puchuncavi ,20071 ,5 ,24.9 ,2 ,10.0 ,2 ,10.0 ,O 0 0 ,O O ,O O O ,O O 2 ,3 O 
Putaendo ,17645 ,22 ,124.7 ,7 ,39.7 ,7 ,39.7 ,O O 0 ,1 0 ,O 1 3 ,2 2 6 ,6 1 
Quillota8 ,97572 ,59 ,60.5 ,11 ,11.3 ,11 ,11.3 ,0 1 0 ,3 7 ,3 6 1 ,5 3 16 ,12 2 
Quilpue& ,167085 ,155 ,92.8 ,43 ,25.7 ,42 ,25.1 ,O 1 3 ,3 9 ,6 4 5 ,12 17 43 ,43 9 
Quintero8 ,36135 ,41 ,113.5 ,11 ,30.4 ,10 ,27.7 ,O O O ,3 1 ,O O 6 ,2 2 16 ,8 3 
Rinconada8 ,11263 ,18 ,159.8 ,13 ,115.4 ,13 ,115.4 ,O O O ,0 O ,3 O 0 ,O O 2 ,11 2 
San Antonio ,96761 ,286 ,295.6 ,62 ,64.1 ,60 ,62.0 ,O O O ,0 5 ,14 10 22 ,38 66 59 ,69 3 
San Esteban ,20643 ,17 ,82.4 ,6 ,29.1 ,6 ,29.1 ,O O O ,O O ,O O 1 ,2 2 6 ,3 3 
San Felipe ,83494 ,87 ,104.2 ,50 ,59.9 ,49 ,58.7 ,O O 0 ,3 2 ,2 O O ,2 4 15 ,47 12 
Santa Maria ,16367 ,26 ,158.9 ,4 ,24.4 ,4 ,24.4 ,O O O ,0 2 ,O O 1 ,5 11 2 ,4 1 
Santo Domingo ,11934 ,35 ,293.3 ,5 ,41.9 ,5 ,41.9 ,O O 2 ,1 O ,6 4 4 ,4 4 4 ,6 O 
Valparaiso ,315732 ,412 ,130.5 ,111 ,35.2 ,109 ,34.5 ,0 1 2 ,10 16 ,12 18 14 ,28 79 107 ,91 34 
Villa Alemana& ,139310 ,122 ,87.6 ,34 ,24.4 ,33 ,23.7 ,O 0 1 ,7 3 ,3 O 1 ,6 26 33 ,38 4 
Vina del Mar& ,361371 ,476 ,131.7 ,123 ,34.0 ,120 ,33.2 ,O O 6 ,21 27 ,21 12 19 ,21 71 131 ,120 27 
Zapallar ,7994 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,O O 0 ,O 0 ,O 0 0 ,0 0 0 ,O O 
Total ,1960170 ,2336 ,119.2 ,690 ,35.2 ,676 ,34.5 ,0 4 15 ,71 103 ,96 82 101 ,158 344 568 ,652 142 
