Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Corral ,5447 ,26 ,477.3 ,O ,0.0 ,0 ,0.0 
Futrono ,15261 ,62 ,406.3 ,O ,0.0 ,O ,0.0 
La Union ,39538 ,111 ,280.7 ,6 ,15.2 ,6 ,15.2 
Lago Ranco ,10292 ,8 ,77.7 ,O ,0.0 ,O ,0.0 
Lanco ,17652 ,53 ,300.2 ,9 ,51.0 ,9 ,51.0 
Los Lagos ,20518 ,66 ,321.7 ,2 ,9.7 ,2 ,9.7 
Mafil ,7389 ,36 ,487.2 ,2 ,27.1 ,2 ,27.1 
Mariquina ,23250 ,55 ,236.6 ,11 ,47.3 ,11 ,47.3 
Paillaco ,20798 ,41 ,197.1 ,2 ,9.6 ,2 ,9.6 
Panguipulli ,35991 ,97 ,269.5 ,27 ,75.0 ,27 ,75.0 
Rio Bueno ,32925 ,81 ,246.0 ,13 ,39.5 ,13 ,39.5 
Valdivia ,176774 ,586 ,331.5 ,38 ,21.5 ,38 ,21.5 
Desconocido ,- ,7 ,- ,0 ,- ,0 ,- 
Total ,405835 ,1229 ,302.8 ,110 ,27.1 ,110 ,27.1 
