ZonadeChile,Poblacion,NumerodeCasosAcumulados,Tasaincidenciaacumulada,NumerodeCasosActivos,TasadeCasosActivos
Region de Arica y Parinacota ,252110 ,6740 ,2673.4 ,662 ,262.6 
Region de Tarapaca ,382773 ,10947 ,2859.9 ,778 ,203.3 
Region de Antofagasta ,691854 ,18456 ,2667.6 ,974 ,140.8 
Region de Atacama ,314709 ,5364 ,1704.4 ,794 ,252.3 
Region de Coquimbo ,836096 ,10435 ,1248.1 ,1299 ,155.4 
Region de Valparaiso ,1960170 ,29820 ,1521.3 ,2184 ,111.4 
Region Metropolitana de Santiago ,8125072 ,299962 ,3691.8 ,5859 ,72.1 
Region del Libertador General Bernardo OHiggins ,991063 ,15489 ,1562.9 ,1104 ,111.4 
Region del Maule ,1131939 ,11936 ,1054.5 ,880 ,77.7 
Region del Nuble ,511551 ,5369 ,1049.6 ,517 ,101.1 
Region del Biobio ,1663696 ,17552 ,1055.0 ,2449 ,147.2 
Region de la Araucania ,1014343 ,4921 ,485.1 ,318 ,31.4 
Region de Los Rios ,405835 ,1111 ,273.8 ,71 ,17.5 
Region de Los Lagos ,891440 ,6357 ,713.1 ,812 ,91.1 
Region de Aysen del General Carlos lbanez del Campo ,107297 ,102 ,95.1 ,6 ,5.6 
Region de Magallanes y la Antartica Chilena ,178362 ,2901 ,1626.5 ,718 ,402.6 
Desconocido ,- ,65 ,- ,1 ,- 
Total pais ,19458310 ,447527 ,2299.9 ,19426 ,99.8 
