Comuna,,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Alhue ,,7405 ,278 ,3754.2 ,33 ,445.6 ,33 ,445.6 
Buin ,& ,109641 ,2581 ,2354.0 ,82 ,74.8 ,81 ,73.9 
Calera de Tango ,,28525 ,601 ,2106.9 ,15 ,52.6 ,15 ,52.6 
Cerrillos ,& ,88956 ,3156 ,3547.8 ,47 ,52.8 ,47 ,52.8 
Cerro Navia ,& ,142465 ,6820 ,4787.1 ,137 ,96.2 ,137 ,96.2 
Colina ,& ,180353 ,4722 ,2618.2 ,83 ,46.0 ,81 ,44.9 
Conchali ,& ,139195 ,6387 ,4588.5 ,122 ,87.6 ,122 ,87.6 
Curacavi ,,36430 ,945 ,2594.0 ,38 ,104.3 ,38 ,104.3 
EI Bosque ,& ,172000 ,6624 ,3851.2 ,98 ,57.0 ,98 ,57.0 
EI Monte ,& ,40014 ,1255 ,3136.4 ,16 ,40.0 ,16 ,40.0 
Estacion Central ,& ,206792 ,6371 ,3080.9 ,99 ,47.9 ,99 ,47.9 
Huechuraba ,& ,112528 ,3987 ,3543.1 ,78 ,69.3 ,78 ,69.3 
Independencia ,& ,142065 ,6641 ,4674.6 ,114 ,80.2 ,112 ,78.8 
Isla de Maipo ,& ,40171 ,1157 ,2880.2 ,53 ,131.9 ,53 ,131.9 
La Cisterna ,& ,100434 ,3328 ,3313.6 ,68 ,67.7 ,68 ,67.7 
La Florida ,& ,402433 ,13980 ,3473.9 ,214 ,53.2 ,213 ,52.9 
La Granja ,& ,122557 ,7145 ,5829.9 ,80 ,65.3 ,80 ,65.3 
La Pintana ,& ,189335 ,10581 ,5588.5 ,231 ,122.0 ,231 ,122.0 
La Reina ,& ,100252 ,2334 ,2328.1 ,77 ,76.8 ,77 ,76.8 
Lampa ,& ,126898 ,3661 ,2885.0 ,75 ,59.1 ,74 ,58.3 
Las Condes ,& ,330759 ,6068 ,1834.6 ,139 ,42.0 ,139 ,42.0 
