SagradaFamilia,19469,2,10.3,1,5.1,1,5.1,OOO0O10,1,O
San Clemente & ,46292 ,10 ,21.6 ,3 ,6.5 ,2 ,4.3 ,O O O O O 1 1 7 ,,1 
San Javier ,49451 ,23 ,46.5 ,4 ,8.1 ,4 ,8.1 ,O O O 0 2 7 4 7 ,,3 
San Rafael ,9959 ,3 ,30.1 ,O ,0.0 ,O ,0.0 ,O O O O 1 O 1 ,1 ,O 
Talca & ,236724 ,160 ,67.6 ,24 ,10.1 ,24 ,10.1 ,O 3 9 13 19 11 16 74 ,,15 
Teno ,30850 ,4 ,13.0 ,2 ,6.5 ,2 ,6.5 ,O O O O O O 1 1 ,,1 
Vichuquen ,4381 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,O O O O O O 0 0 ,,O 
Villa Alegre ,17512 ,2 ,11.4 ,1 ,5.7 ,1 ,5.7 ,O O O O O O 1 ,1 ,O 
Yerbas Buenas ,19200 ,2 ,10.4 ,1 ,5.2 ,1 ,5.2 ,O O O O O O 1 ,O ,1 
Total ,1131939 ,408 ,36.0 ,64 ,5.7 ,63 ,5.6 ,1 4 11 26 51 48 64 161 ,,40 
