Quilaco,4179,O,0.0,O,0.0,O,0.0,OOOO,00,OOOO
Quilleco ,10032 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O 0 O O ,O O ,O 0 O O 
San Pedro de la Paz ,145906 ,100 ,68.5 ,3 ,2.1 ,3 ,2.1 ,O O 6 33 ,15 24 ,9 11 2 0 
San Rosendo ,3611 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O O ,O 0 ,O O O O 
Santa Barbara ,14592 ,2 ,13.7 ,O ,0.0 ,O ,0.0 ,O O O O ,2 O ,O O O O 
Santa Juana ,14779 ,2 ,13.5 ,1 ,6.8 ,1 ,6.8 ,O O O O ,0 1 ,O O 1 O 
Talcahuano ,158345 ,103 ,65.0 ,23 ,14.5 ,23 ,14.5 ,1 O 3 20 ,18 16 ,12 13 19 1 
Tirua ,11019 ,4 ,36.3 ,O ,0.0 ,0 ,0.0 ,O 0 O 1 ,2 1 ,0 O O 0 
Tome ,58729 ,50 ,85.1 ,3 ,5.1 ,3 ,5.1 ,O O O 10 ,11 12 ,7 9 1 0 
Tucapel ,15205 ,1 ,6.6 ,O ,0.0 ,O ,0.0 ,O O O O ,O 1 ,O O O O 
Yumbel ,22132 ,6 ,27.1 ,O ,0.0 ,O ,0.0 ,O O O O ,5 O ,O 1 O O 
Total ,1663696 ,727 ,43.7 ,86 ,5.2 ,86 ,5.2 ,2 2 29 135 ,159 143 ,96 98 57 6 
