Comuna,Busquedasactivas(%),Positividad(%),CoberturaTesteo(%),Oportunidadnotificacion(%)
Algarrobo ,684 ,13 ,907 ,100 
Cabildo ,833 ,46 ,573 ,100 
Calera ,500 ,195 ,862 ,989 
Calle Larga ,636 ,40 ,950 ,100 
Cartagena ,539 ,39 ,993 ,100 
Casablanca ,753 ,91 ,830 ,794 
Catemu ,455 ,104 ,680 ,929 
Con Con ,606 ,72 ,840 ,938 
EI Quisco ,511 ,74 ,910 ,100 
EI Tabo ,603 ,26 ,981 ,100 
Hijuelas ,324 ,162 ,902 ,944 
Isla de Pascua ,500 ,- ,667 ,- 
Juan Fernandez ,- ,- ,- ,- 
La Cruz ,672 ,98 ,864 ,833 
La Ligua ,485 ,196 ,630 ,938 
Limache ,511 ,116 ,717 ,889 
Llaillay ,537 ,56 ,706 ,833 
Los Andes ,712 ,25 ,805 ,100 
Nogales ,304 ,304 ,558 ,964 
Olmue ,532 ,136 ,868 ,100 
Panquehue ,745 ,11 ,949 ,100 
Papudo ,820 ,33 ,747 ,100 
Petorca ,586 ,171 ,814 ,100 
Puchuncavi ,636 ,62 ,955 ,100 
Putaendo ,668 ,26 ,956 ,100 
Quillota ,598 ,143 ,719 ,955 
Quilpue ,501 ,126 ,826 ,920 
Quintero ,615 ,32 ,919 ,875 
Rinconada ,825 ,05 ,965 ,100 
San Antonio ,513 ,116 ,973 ,975 
San Esteban ,763 ,34 ,945 ,100 
San Felipe ,712 ,31 ,863 ,920 
Santa Maria ,519 ,33 ,942 ,100 
Santo Domingo ,567 ,30 ,957 ,100 
Valparaiso ,544 ,105 ,825 ,810 
Villa Alemana ,556 ,113 ,852 ,923 
Vina del Mar ,474 ,130 ,788 ,903 
Zapallar ,465 ,163 ,737 ,100 
Total ,577 ,96 ,827 ,916 
