Quilpue,&0135,9,6,46,12,1946,78,79,110,158,157,224,180,202,145,116,91,87,137,8813O
Quintero ,& O O O 2 ,1 ,1 ,0 6 ,2 ,4 24 ,23 ,29 ,45 ,53 ,40 ,45 ,41 ,24 ,36 ,36 ,23 ,11 ,9 ,8 2 O 
Rinconada ,0 O O O ,O ,3 ,O O ,O ,O 2 ,15 ,18 ,15 ,19 ,20 ,20 ,15 ,14 ,13 ,11 ,8 ,0 ,1 ,1 O O 
San Antonio ,& O O O O ,6 ,15 ,11 22 ,37 ,71 61 ,101 ,94 ,138 ,145 ,120 ,92 ,92 ,82 ,61 ,75 ,57 ,54 ,45 ,77 10 O 
San Esteban ,O 0 O O ,O ,O ,O 1 ,2 ,2 7 ,4 ,11 ,16 ,28 ,18 ,18 ,28 ,26 ,27 ,17 ,11 ,11 ,7 ,8 O O 
San Felipe ,& 0 O O 3 ,3 ,2 ,O 1 ,2 ,6 18 ,60 ,70 ,117 ,182 ,175 ,108 ,135 ,85 ,60 ,40 ,21 ,75 ,99 ,45 12 O 
Santa Maria ,O O O O ,1 ,1 ,O O ,4 ,15 3 ,5 ,8 ,13 ,18 ,30 ,32 ,23 ,28 ,18 ,17 ,10 ,23 ,8 ,9 2 O 
Santo Domingo ,& O O 2 1 ,1 ,5 ,4 4 ,4 ,5 4 ,11 ,7 ,9 ,33 ,21 ,10 ,10 ,7 ,5 ,2 ,1 ,3 ,0 ,6 3 O 
Valparaiso ,& 0 1 2 11 ,15 ,13 ,21 17 ,26 ,84 119 ,151 ,235 ,315 ,495 ,547 ,505 ,377 ,323 ,339 ,322 ,306 ,322 ,300 ,251 40 0 
Villa Alemana ,& O O 1 7 ,4 ,3 ,O 1 ,5 ,32 41 ,51 ,74 ,125 ,190 ,186 ,212 ,139 ,172 ,129 ,98 ,98 ,104 ,115 ,97 24 O 
Vina del Mar ,& 1 O 5 23 ,28 ,23 ,13 21 ,25 ,80 142 ,201 ,236 ,306 ,408 ,396 ,453 ,424 ,372 ,281 ,275 ,228 ,261 ,332 ,276 56 O 
Zapallar ,O O O O ,O ,1 ,0 O ,O ,O O ,1 ,O ,1 ,2 ,3 ,19 ,13 ,12 ,11 ,10 ,4 ,6 ,10 ,5 1 O 
Desconocido ,& 0 0 0 2 ,3 ,3 ,1 1 ,O ,O 11 ,8 ,6 ,37 ,27 ,37 ,57 ,46 ,51 ,25 ,23 ,12 ,11 ,12 ,13 7 0 
Total ,1 4 14 83 ,109 ,107 ,92 108 ,159 ,387 644 ,1025 ,1270 ,1780 ,2659 ,2646 ,2727 ,2508 ,2348 ,1947 ,1760 ,1566 ,1610 ,1824 ,1429 286 0 
