ZonadeChile,Poblacion,NumerodeCasosAcumulados,Tasaincidenciaacumulada
Region de Arica y Parinacota ,252110 ,525 ,208.2 
Region de Tarapaca ,382773 ,1628 ,425.3 
Region de Antofagasta ,691854 ,1990 ,287.6 
Region de Atacama ,314709 ,186 ,59.1 
Region de Coquimbo ,836096 ,351 ,42.0 
Region de Valparaiso ,1960170 ,2336 ,119.2 
Region Metropolitana de Santiago ,8125072 ,58843 ,724.2 
Region del Libertador General Bernardo O'Higgins ,991063 ,606 ,61.1 
Region del Maule ,1131939 ,974 ,86.0 
Region del Nuble ,511551 ,1148 ,224.4 
Region del Biobio ,1663696 ,1462 ,87.9 
Region de la Araucania ,1014343 ,1851 ,182.5 
Region de Los Rios ,405835 ,304 ,74.9 
Region de Los Lagos ,891440 ,738 ,82.8 
Region de Aysen del General Carlos lbanez del Campo ,107297 ,7 ,6.5 
Region de Magallanes y la Antartica Chilena ,178362 ,1016 ,569.6 
Desconocido ,- ,32 ,- 
Total pais ,19458310 ,73997 ,380.3 
